cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,DATALITICAEC SAS,Ecuador,CallCenter / Telemercadeo,2024-09-10T12:34:21,,1,Dirección de ventas. Gestión de ventas. Marketing. Ventas,Pichincha,,Con experiencia,Asesor de Ventas 	Responsabilidades: 		1. Venta de Cursos de Capacitacion Online por telefono 	2. Manejo y atencion de leads 	3. Manejo de CRM 	4. Creacion y Ejecucion de estrategias comercial 		Requisitos: 		1. Experiencia en Ventas 	2. Disponibilidad tiempo completo 	3. Manejo de Excel 	4. Conocimientos de marketing	5. Trabajo remoto,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asesor de Venta Remoto Teletrabajo,45,23,Educación Básica Secundaria,3,Híbrido,False,False,True,
False,False,DATALITICAEC SAS,Ecuador,Otros,2024-09-10T12:14:30,,1,,Pichincha,,En la Noche,Restaurante ubicado en Cumbaya busca cocinero/a con experiencia en comida rapida para un Beer Garden. que sea productivo. enfoque en atención al cliente. trabajo en equipo. trabajo bajo presión y alta capacidad resolutiva.		Experiencia en comida:		- Hamburguesas	- Alitas	- Nachos	- Demas comida rapida		Horario:	Miercoles a Sabado de 18:00 a 24:00		,Por Horas,Contrato por tiempo indefinido,A convenir,0,Chef Cocinero,45,20,Educación Básica Secundaria,1,Presencial,False,False,True,
False,False,Sumar Repcom S.A.,Ecuador,Administración / Oficina,2024-09-10T12:10:06,,1,Microsoft Office,Pichincha,,Empresa en Calacalí busca,Se encargará de lo siguiente:	-) Elaboración de facturas	-) Pago a Proveedores / contabilizarlos	-) Retenciones SRI	-) Pago de impuestos	-) Rol de pagos	-) Manejo de sistema contable		,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,auxiliar contable,,,Educación Técnico/Profesional,1,Presencial,False,False,False,4.0
False,False,CONSORCIO CONTINENTAL CADC S.A,Ecuador,Contabilidad / Finanzas,2024-09-10T12:10:06,,1,,Pichincha,,,Declarar impuestos	Auditar	Generar estados financieros	Crear nóminas	Llevar las cuentas y razón de gastos de una institución. administración o persona,Tiempo Completo,Contrato por tiempo indefinido,800.00 US$ (Mensual),800,Contador Público,35,18,Universidad,1,Presencial,False,False,True,
False,False,MAXITEC,Ecuador,Informática / Telecomunicaciones,2024-09-10T12:10:05,,3,Atención al cliente. Comunicación y persuasión. Gestión de ventas. Negociación. Tecnología. Ventas. Asesoría comercial. Electrónica,Pichincha,Español .Inglés ,Excelentes Vendedores para Ascender por Desempeño,Buscamos a los Mejores Vendedores de Tecnología con Título de 3er Nivel en carreras técnicas.		¿Te apasiona la tecnología? 	¿Eres un vendedor con talento para superar objetivos y disfrutas ayudando a las personas a encontrar las mejores soluciones tecnológicas? 	¿Te gustaría desarrollarte en una empresa donde tu desempeño te permita avanzar a puestos de liderazgo? 	¡MaxiTec es el lugar para ti!		En MaxiTec. somos líderes en asesoría de ventas de tecnología y atención al cliente. Nos especializamos en ofrecer una experiencia de compra excepcional. ayudando a nuestros clientes a encontrar las mejores soluciones a sus necesidades tecnológicas. Valoramos a cada miembro de nuestro equipo y ofrecemos oportunidades reales de crecimiento profesional. Comienzas tu carrera con ingresos totales de $500 y puedes ascender hasta $1000 por desempeño y cumplimiento de ventas.  Si la tecnología es tu pasión y las ventas son tu fortaleza. MaxiTec es tu lugar.		Buscamos excelentes vendedores de tecnología que disfruten de la satisfacción de ver a un cliente feliz gracias a su asesoría experta. Queremos personas apasionadas por la tecnología y los accesorios que mejoran la experiencia del usuario. y le permiten disfrutar de la tecnología al 100%.		¿Qué valoramos en ti?	•	Formación técnica o tecnológica: Preferiblemente en Electrónica. Telecomunicaciones. Mecatrónica. Ingeniería en Sistemas. Informática o áreas relacionadas.	•	Experiencia comprobada en ventas: Mínimo 2 años en ventas de tecnología o retail. con un historial de éxito en la superación de metas.	•	Conocimiento amplio de productos tecnológicos y accesorios.	•	Habilidades excepcionales: Capacidad para conectar con los clientes. identificar sus necesidades y ofrecerles soluciones personalizadas.	•	Ambición y visión de futuro: Buscamos personas con deseos de avanzar hacia roles de liderazgo dentro de la empresa.	•	Que seas un líder nato positivo. muy desenvuelto. persuasivo y con excelente comunicación verbal y escrita.		¿Qué harás en MaxiTec?	•	Superar tus metas de ventas: Nos enfocamos en resultados. Queremos que disfrutes alcanzando y superando tus objetivos mensuales.	•	Asesorar a los clientes de forma personalizada: No solo venderás dispositivos. sino que ayudarás a elegir los accesorios ideales para maximizar su experiencia tecnológica.	•	Mantenerte al día con las tendencias tecnológicas: Estarás siempre informado sobre las últimas novedades y productos tecnológicos.	•	Desarrollarte profesionalmente: MaxiTec ofrece un entorno donde tu talento es reconocido y recompensado. con oportunidades reales de asumir posiciones de mayor responsabilidad.	•	NO ser ESTUDIANTE	•	Debes tener disponibilidad para trabajar en turnos rotativos de 40 horas semanales entre 9am y 9 pm. incluidos feriados y fines de semana. 		¿Qué ofrecemos?	•	Plan de crecimiento profesional: Desde el primer día. tendrás la oportunidad de desarrollarte en la empresa y avanzar en tu carrera.	•	Esquema salarial por desempeño: Gana más mientras más vendas. ¡Tu éxito será recompensado!	•	Capacitación continua: Mantente actualizado con las últimas tecnologías y mejora tus habilidades en ventas y atención al cliente.	•	Entorno dinámico y retador: Un lugar donde la creatividad. el trabajo en equipo y el crecimiento personal son la clave del éxito.	•	Beneficios adicionales: Descuentos exclusivos en tecnología. incentivos por cumplimiento de metas y un ambiente laboral motivador.	•	NO ESTUDIANTES	•	Debes tener disponibilidad para trabajar en turnos rotativos de 40 horas semanales entre 9am y 9 pm. incluidos feriados y fines de semana. 		¡Es tu momento de brillar!	Si eres un apasionado por la tecnología. te encanta vender y quieres hacer crecer tu carrera profesional en una empresa de asesoría tecnológica y atención al cliente. postúlate ahora y forma parte de MaxiTec. donde tu éxito será reconocido y recompensado.		¡No pierdas esta oportunidad! Únete a MaxiTec hoy.,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,Asesores de Tecnología con Título 3er Nivel,30,25,Universidad,4,Presencial,False,False,False,4.2
False,False,Super Inflables,Ecuador,Producción / Operarios / Manufactura,2024-09-10T12:10:05,,1,,Pichincha,,,Empresa de fabricación de Inflables  personalizados requiere contratar personal para el área de corte con conocimientos en costura. 		Las tareas a ejecutar son cortar piezas en base a moldes únicos en tela y lona. 		Indispensable que vivan en el Valle de los Chillos.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar de corte,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
False,False,INNOFARM,Ecuador,Medicina / Salud,2024-09-10T12:10:05,,2,,Pichincha,,,Ciudad: Quito	Sector: La coruña	Objetivo de la Posición:	El Profesional se encarga de la ejecución de tratamientos Faciales. corporales. Tratamientos depilación laser . entre otros. Proponer servicios. atención de venta directa. venta cruzada de productos y servicios del centro entre otras.,Tiempo Completo,Otro tipo de contrato,700.00 US$ (Mensual),700,Cosmiatra / Cosmetologa,,,Educación Técnico/Profesional,2,Presencial,True,False,False,
False,False,MAXITEC,Ecuador,Ventas,2024-09-10T12:10:05,,3,Comunicación y persuasión. Gestión de ventas. Negociación. Tecnología. Tecnología de la información. Ventas. Electrónica,Pichincha,Español .Inglés ,Excelentes Vendedores para Ascender por Desempeño,Buscamos a los Mejores Vendedores de Tecnología con Título de 3er Nivel en carreras técnicas.		¿Te apasiona la tecnología? 	¿Eres un vendedor con talento para superar objetivos y disfrutas ayudando a las personas a encontrar las mejores soluciones tecnológicas? 	¿Te gustaría desarrollarte en una empresa donde tu desempeño te permita avanzar a puestos de liderazgo? 	¡MaxiTec es el lugar para ti!		En MaxiTec. somos líderes en asesoría de ventas de tecnología y atención al cliente. Nos especializamos en ofrecer una experiencia de compra excepcional. ayudando a nuestros clientes a encontrar las mejores soluciones a sus necesidades tecnológicas. Valoramos a cada miembro de nuestro equipo y ofrecemos oportunidades reales de crecimiento profesional. comienzas con ingresos totales de $500 y puedes ascender hasta $1000 por desempeño y cumplimiento de ventas. Envía en este momento tu hoja de vida a talento maxitec com ec. Si la tecnología es tu pasión y las ventas son tu fortaleza. MaxiTec es tu lugar.		Buscamos excelentes vendedores de tecnología que disfruten de la satisfacción de ver a un cliente feliz gracias a su asesoría experta. Queremos personas apasionadas por la tecnología y los accesorios que mejoran la experiencia del usuario. y le permiten disfrutar de la tecnología al 100%.		¿Qué valoramos en ti?	•	Formación técnica o tecnológica: Preferiblemente en Electrónica. Telecomunicaciones. Mecatrónica. Ingeniería en Sistemas. Informática o áreas relacionadas.	•	Experiencia comprobada en ventas: Mínimo 2 años en ventas de tecnología o retail. con un historial de éxito en la superación de metas.	•	Conocimiento amplio de productos tecnológicos y accesorios.	•	Habilidades excepcionales: Capacidad para conectar con los clientes. identificar sus necesidades y ofrecerles soluciones personalizadas.	•	Ambición y visión de futuro: Buscamos personas con deseos de avanzar hacia roles de liderazgo dentro de la empresa.	•	Que seas un líder nato positivo. muy desenvuelto. persuasivo y con excelente comunicación verbal y escrita.		¿Qué harás en MaxiTec?	•	Superar tus metas de ventas: Nos enfocamos en resultados. Queremos que disfrutes alcanzando y superando tus objetivos mensuales.	•	Asesorar a los clientes de forma personalizada: No solo venderás dispositivos. sino que ayudarás a elegir los accesorios ideales para maximizar su experiencia tecnológica.	•	Mantenerte al día con las tendencias tecnológicas: Estarás siempre informado sobre las últimas novedades y productos tecnológicos.	•	Desarrollarte profesionalmente: MaxiTec ofrece un entorno donde tu talento es reconocido y recompensado. con oportunidades reales de asumir posiciones de mayor responsabilidad.	•	NO ser ESTUDIANTE	•	Debes tener disponibilidad para trabajar en turnos rotativos de 40 horas semanales entre 9am y 9 pm. incluidos feriados y fines de semana. 		¿Qué ofrecemos?	•	Plan de crecimiento profesional: Desde el primer día. tendrás la oportunidad de desarrollarte en la empresa y avanzar en tu carrera.	•	Esquema salarial por desempeño: Gana más mientras más vendas. ¡Tu éxito será recompensado!	•	Capacitación continua: Mantente actualizado con las últimas tecnologías y mejora tus habilidades en ventas y atención al cliente.	•	Entorno dinámico y retador: Un lugar donde la creatividad. el trabajo en equipo y el crecimiento personal son la clave del éxito.	•	Beneficios adicionales: Descuentos exclusivos en tecnología. incentivos por cumplimiento de metas y un ambiente laboral motivador.	•	NO ESTUDIANTES	•	Debes tener disponibilidad para trabajar en turnos rotativos de 40 horas semanales entre 9am y 9 pm. incluidos feriados y fines de semana. 		¡Es tu momento de brillar!	Si eres un apasionado por la tecnología. te encanta vender y quieres hacer crecer tu carrera profesional en una empresa de asesoría tecnológica y atención al cliente. postúlate ahora y forma parte de MaxiTec. donde tu éxito será reconocido y recompensado.		¡No pierdas esta oportunidad! Únete a MaxiTec hoy.,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,Asesor de Ventas de Tecnología con Titulo 3er Niivel,30,25,Universidad,4,Presencial,False,False,False,4.2
False,False,La Casona Marisquería,,Hostelería / Turismo,2024-09-10T12:10:05,,4,Aceptación de errores y fracasos. Adaptación al cambio. Organización. Resolución de conflictos. Resolución de problemas. Manipulación de alimentos,Pichincha,,Caballero Ecuatoriano,Se busca un caballero Ecuatoriano con experiencia en comida costeña. de una edad entre 25 a 40 años. preferencialmente que resida en el norte de la ciudad para trabajar en un restaurante costeño ubicado en el sector de Cotocollao (norte de Quito). Para trabajar los días sábados y domingos. En un horario de 	Sábados 7 am - 5.15 pm	Domingos 7 am - 4.30 pm	,Por Horas,Otro tipo de contrato,394.00 US$ (Mensual),394,Cocinero chef,40,25,Bachillerato / Educación Media,1,Presencial,False,False,False,
False,False,Social:Compañia Promotora Inmobiliaria Carlos Reyes & Asociados Cia. Ltda.,Ecuador,Construcción y obra,2024-09-10T12:10:05,,1,Adaptación al cambio,Pichincha,Inglés ,,Breve descripción del puesto	Buscamos un ingeniero civil innovador para diseñar. desarrollar y construir una amplia gama de proyectos del entorno construido de forma física y natural. desde la concepción a la finalización. Podrás opinar sobre cómo será el mundo. trabajar en un sector dinámico de rápido crecimiento. contribuir a la creación de economías sanas e influir en la sociedad de forma positiva y duradera.		Responsabilidades	Gestionar. diseñar. desarrollar. crear y mantener proyectos de construcción de pequeña escala a gran escala de un modo seguro. oportuno y sostenible	Realizar investigaciones in situ y analizar datos (mapas. informes. ensayos. gráficos. etc.)	Llevar a cabo estudios técnicos y de viabilidad y redactar planes que satisfagan las especificaciones técnicas	Evaluar posibles riesgos. así como materiales y costes	Asesorar y solucionar de manera creativa todo problema o deficiencia que surja	Supervisar y tutelar a trabajadores y actuar de enlace con una serie de partes interesadas	Gestionar las estructuras y los servicios resultantes para su uso	Supervisar el avance y recopilar informes sobre el estado del proyecto	Gestionar el presupuesto y adquirir equipos/materiales	Cumplir con las directrices y las normativas. incluidos los permisos y la seguridad. además de ofrecer expedientes y cualquier otra documentación técnica que se necesite	Requisitos	Experiencia laboral demostrable en ingeniería civil	Excelente conocimiento del software de diseño y de visualización como AutoCAD. Civil 3D o similares	Dominio del diseño de sitios. granulometría. diseño de utilidades. control de la erosión. autorizaciones reglamentarias. etc.	Aptitudes para la supervisión y la gestión de proyectos	Habilidades interpersonales y de comunicación sólidas	Licencia de ingeniero profesional	Grado/máster en Ingeniería Civil,Tiempo Completo,Contrato por tiempo indefinido,1.900.00 US$ (Mensual),1900,Ingenieros civiles,,,Universidad,10,Presencial,True,False,True,3.7
