cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,CUENCALICOR CIA. LTDA. ,Ecuador,Administración / Oficina,2024-09-10T12:01:47,,,Adaptación al cambio. Comunicación y persuasión. Gestión del Tiempo. Trabajo en equipo,Azuay,,Experiencia en consumo masivo,Buscamos un Gestora de Facturación y Cobranza experimentado para unirse a nuestro equipo. La candidata ideal será proactiva. responsable y estará orientada al cumplimiento de objetivos. Deberá tener capacidad para tratar con clientes y realizar gestiones de recuperación de cartera.		Responsabilidades	- Gestionar la facturación y la cobranza de las cuentas de los clientes.	- Realizar seguimiento y gestión de cobro a clientes.	- Trabajar de la mano con el equipo de ventas.	- Preparar informes sobre el estado de las cuentas de los clientes.	- Trabajar con otros departamentos para garantizar la precisión de la gestion tanto en facturación como en cobranza.		Requisitos	- Disponibilidad inmediata	- Estudios en Administración de Empresas o carrera a fin.	- 3+ años de experiencia en gestión de facturación y cobranza en empresas de consumo masivo.	- Orientado al cumplimiento de objetivos y presupuestos.	- Habilidades analíticas y de resolución de problemas.	- Manejo básico de herramientas informáticas.	- Residir en Cuenca,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Gestor de Facturación y Cobranza,40,25,Universidad,1,Presencial,False,False,False,4.0
False,False,Cooperativa JEP,Ecuador,Administración / Oficina,2024-09-10T04:24:07,,,,Azuay,,personal con carnet de conadis discapacidad,Archivar documentos físicos y digitales	Entregar correspondencia. activos fijos e insumos	Realizar el fotocopiado de documentación solicitada.	Realizar llamadas telefónicas	Realizar otras funciones designadas por su Jefe Inmediato.		Requisitos:	Bachiller	Proactividad	Poseer carnet de CONADIS.		-Requerimientos- 	Educación mínima: Bachillerato / Educación Media	Personas con discapacidad: Sí	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar operativo,40,22,Educación Básica Secundaria,2,Presencial,True,False,True,4.5
False,False,ECUASUEÑA S.A ,Ecuador,Atención a clientes,2024-09-10T04:04:10,,1,,Azuay,,(Cuenca),Ejecutivo de Crédito Vehicular		Buscamos un Ejecutivo de Crédito Vehicular para unirse a nuestro equipo. El candidato ideal tendrá excelentes habilidades de comunicación y ventas. así como conocimientos del mercado automotriz.		Responsabilidades		Identificar y desarrollar nuevas oportunidades de negocio.	Mantener relaciones sólidas con nuestros clientes existentes.	Asesorar a los clientes sobre las mejores opciones de financiamiento.	Procesar solicitudes de crédito y gestionar aprobaciones.	Realizar seguimiento a los clientes para garantizar el pago puntual de las cuotas.		Requisitos		Experiencia en ventas o crédito automotriz.	Excelentes habilidades de comunicación y ventas.	Sólidos conocimientos del mercado automotriz.	Capacidad para trabajar de forma independiente y como parte de un equipo.	Excelentes habilidades de organización y gestión del tiempo.		Éxitos en tu entrevista.,Tiempo Completo,Otro tipo de contrato,A convenir,0,Ejecutivo ventas,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
False,True,BESTBRIAN CIA.LTDA.,Ecuador,Ventas,2024-09-09T18:50:27,,1,Comunicación y persuasión. Desarrollo de negocio. Gestión de ventas. Asesoría comercial,Azuay,Español ,Con experiencia,Solo MUJERES	Buscamos Ejecutivas en Ventas. que sean dinámicas y apasionadas mayor a 25 años con experiencia comprobada en cualquier área comercial y habilidades excepcionales de comunicación. Únete a nuestro equipo de trabajo para impulsar metas comerciales. aprovechando tus habilidades. Si buscas un trabajo con excelente remuneración económica y crecimiento profesional ¡Te estamos buscando! Requisitos: Excelente comunicación - Empatía - Capacidad de negociación - Deseo de superación - Capacidad de aprendizaje - Compromiso - Excelente expresión oral y escrita. Envía tu CV. ¡Esperamos conocerte pronto! Se ofrece sueldo + atractivas comisiones + bonificaciones por cumplimiento + beneficios de ley.	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Ejecutivo ventas,40,25,Universidad,10,Presencial,False,False,False,
False,True,DISTRIBUCIONES TOVECO CIA. LTDA,Ecuador,Ventas,2024-09-09T17:01:47,,6,Adobe Photoshop. Adaptación al cambio. Dirección de ventas. Gestión de ventas. Innovación. Planificación. Resolución de conflictos. Servicio al cliente. Superación. Tecnología. Asesoría comercial. Logística,Azuay,Español ,Jefe de ventas y asesor comercial,Atencion de ventas a clientes mayoristas	Atencion de clientes en mostrador	Atencion de clientes de e-commerce	Manejo de cartera de clientes	Manejo de portales web de clientes y de la empresa	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Jefe ventas,40,29,Bachillerato / Educación Media,1,Presencial,False,False,True,
False,True,Distribuidora Armijos Romero Cia. Ltda.,Ecuador,Ventas,2024-09-09T16:52:02,,1,Atención al cliente. Gestión de ventas. Ventas,Azuay,,con experiencia,Experiencia en venta de productos de consumo masivo.	Desarrollar la cartera asignada de clientes zonas Azuay y Loja. cumpliendo eficientemente el proceso y la gestión de la venta directa en las rutas y	canales asignados de la zonas Azuay y Loja.	Ejecutar la gestión de visita. asesoramiento y venta de productos en los clientes asignados en su ruta diaria.	Cumplir eficientemente con el plan de visitas diarias y las rutinas de venta operando con todo el portafolio de productos asignado.	Lograr altos niveles de efectividad de visitas.	Operar bajo indicadores de venta (volumen. mix de portafolio. efectividad. etc.)	Es indispensable que los candidatos tengan experiencia en la	zonas Azuay y Loja.	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asesor Comercial,,,Educación Técnico/Profesional,2,Presencial,False,False,False,4.4
False,False, Casa Crédito,Ecuador,Diseño / Artes gráficas,2024-09-09T14:35:12,,1,Adobe Ilustrator. Adobe Photoshop. Marketing. Adobe After Effects. Redes Sociales. Adobe Premier,Azuay,,Con experiencia en estrategias de Marketing,Si eres creativo. apasionado por el diseño y entiendes cómo crear contenido estratégico para redes sociales. esta oportunidad es para ti.		Experiencia mínima de 1 año	Manejo de herramientas de diseño gráfico (Photoshop. Illustrator. After Effetcs. Premiere. etc.).	Experiencia en creación de contenidos para redes sociales.	Conocimientos en estrategias de marketing digital.,Tiempo Completo,Otro tipo de contrato,600.00 US$ (Mensual),600,Diseñador Gráfico,,,Universidad,1,Presencial,False,False,False,
False,True,EQUIFRIGO S.A.S.,Ecuador,Producción / Operarios / Manufactura,2024-09-09T14:35:10,,-1,Desarrollo de producto. Resolución de conflictos. Agile,Azuay,,con experiencia,Busco personal proactivo y dinámico. con experiencia en soldadura y armado de estructuras. que además cuente con conocimientos en gasfitería e instalaciones. Es importante que tenga habilidades de liderazgo y capacidad para la resolución de problemas.,Tiempo Completo,Contrato por tiempo determinado,A convenir,0,Ayudante de soldador,45,20,Bachillerato / Educación Media,10,Presencial,False,False,False,
False,False,BairesDev LLC,Argentina,Informática / Telecomunicaciones,2024-09-09T13:16:43,,7,Desarrollo de producto. Gestión de coste. Gestión de equipos. Gestión del Tiempo. Recursos Humanos. Tecnología de la información. Lean. Agile. Gestión de inventarios. Gestión de personal,Azuay,Inglés ,Ref. 0003E,At BairesDev®. we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.		Our diverse 4.000+ team. composed of the world's Top 1% of tech talent. works remotely on roles that drive significant impact worldwide.		When you apply for this position. you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies. setting you on a path to exceptional career development and success.		Engineering Manager at BairesDev		As an Engineering Manager. you will lead data acquisition projects from concept to delivery. ensuring timely completion and efficient resource allocation. You'll drive technological innovation and process optimization. guiding your team to excel in data acquisition. This role offers a unique opportunity to shape the Engineering Team's future and significantly impact our data-driven initiatives.		What You Will Do:		- Assist in building and hiring the team.	- Develop and implement best practices to drive efficiency. quality. and innovation.	- Optimize Engineering processes to achieve productivity and reduce cycle time.	- Make sure that team coordination and the development process are executed correctly.	- Partner with the Product Team to align vision and strategy.	- Ensure reliability and maintenance of the products.	- Identify and mitigate technical risks. ensuring the product is delivered on time and within budget.	- Lead. mentor. and foster a culture of collaboration and continuous improvement within your engineering team responsible for delivering high-quality data products.		Here’s what we are looking for:		- 7+ years of experience in Software Development and Delivery related roles.	- 3+ years of experience in team management.	- Strong technical and development background with Java.	- Familiarity with AWS Infrastructure.	- Strong Project Management skills with a hands-on approach. proactively encouraging and motivating team members to ensure smooth. efficient operations.	- Strong business-oriented mindset. able to provide visibility into business metrics and company goals.	- Excellent communication and organizational skills.	- Advanced English Level.		How we make your work (and your life) easier:		- 100% remote work (from anywhere).	- Excellent compensation in USD or your local currency if preferred	- Flexible hours: create your own schedule.	- Paid parental leaves. vacations. and national holidays.	- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.	- Supportive environment with mentorship. promotions. skill development. and diverse growth opportunities.		Join a global team where your unique talents can truly thrive!,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Work From Home Engineering Manager,,,Universidad,1,,True,False,True,
False,False,BairesDev LLC,Argentina,Recursos Humanos,2024-09-09T13:14:54,,2,Recursos Humanos. Tecnología de la información. Lean. Agile. Psicología. Administración,Azuay,Inglés ,Ref. 0888E,At BairesDev®. we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. 		Our diverse 4.000+ team. composed of the world's Top 1% of tech talent. works remotely on roles that drive significant impact worldwide.		When you apply for this position. you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies. setting you on a path to exceptional career development and success.		Benefits Analyst at BairesDev		We are looking for a Benefits Analyst to join our team. The right candidate for this job will need to be a self-starter who can jump in and contribute to the Benefits team on day one.		What You Will Do:		- Respond to employee benefits questions and assist with troubleshooting/researching to resolve various benefits or claim issues as they arise.	- Review and approve all benefits. enrollments. and transactions. ensuring the accuracy of data and adequate documentation.	- Collect. analyze. and summarize employee benefits data and trends; Assist in tracking benefit costs and preparing the benefit-cost analysis.	- Ensure that all Benefit plans are competitive. compliant with local laws and regulations. and financially efficient.		Here’s what we are looking for:		- +2 years of experience in similar positions.	- Degree completed or advanced studies in Human Resources. Business Administration. or related fields.	- Strong communication skills.	- Highly organized and strong attention to detail.	- Advanced English level.		How we do make your work (and your life) easier:		- 100% remote work (from anywhere).	- Excellent compensation in USD or your local currency if preferred	- Hardware and software setup for you to work from home.	- Flexible hours: create your own schedule.	- Paid parental leaves. vacations. and national holidays.	- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.	- Supportive environment with mentorship. promotions. skill development. and diverse growth opportunities.		Apply now and become part of a global team where your unique talents can truly thrive!,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Work From Home Benefits Analyst,,,Universidad,10,,True,False,True,
