cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,True,INDUSTRIA FARMACEUTICA REYES&VERDUGA REVLOH CIA.LTDA.,Ecuador,Ventas,2024-09-10T12:10:05,,1,Servicio al cliente,Guayas,Español ,Asesor Comercial Guayaquil,Promoción y venta de productos por comisión	Flexibilidad de horario. requiriendo movilización propia. con disponibilidad de viaje.	Recibirá capacitación sobre los productos a promocionar y vender por comisión.,Por Horas,Otro tipo de contrato,A convenir,0,Asesor comisionista,48,28,Universidad,1,Presencial,False,False,False,
True,True,CONSTRUCTORA RAMBAQ S.A.,Ecuador,Construcción y obra,2024-09-10T12:10:06,,1,Ingeniería,Guayas,,Turno en la mañana con experiencia,vas a estar a cargo de lo que es	Diseño y Planificación de Infraestructuras también vas a estar al pendiente de	la Supervisión de Construcciones el correspondiente Estudio de Suelos y Materiales entre otras funciones.,Tiempo Completo,Contrato por tiempo determinado,A convenir,0,Asesor de construcción,45,19,Educación Técnico/Profesional,2,Presencial,False,False,True,4.4
False,True,FERMAGRI S.A.,Ecuador,Ventas,2024-09-10T10:28:46,,,,Guayas,,sin experiencia,- Graduado en Ingeniería Agronómica o carrera similares.	- Experiencia no indispensable	-Residencia en guayaquil. con disponibilidad para viajar	    -En la provincia del Guayas y de los ríos.	- Obtenga licencia tipo B	- Ingles no indispensable,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,Vendedor,,,Universidad,1,Híbrido,False,False,False,
False,False,VILLAO CALDERON JORGE AUGUSTO,Ecuador,Otros,2024-09-10T10:20:07,,-1,Aprendizaje,Guayas,,Ser psicóloga o psicopedagoga,Requerimos señorita que cumpla con este perfil:	- Ser Psicóloga o Psicopedagoga	- Experiencia en trabajo con niños	-Tener buen carácter y tolerante	- Disponibilidad en horario de 10:15 am a 19:15 pm	- Edad de 23 a 30 años,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asistente de terapias de lenguaje,30,23,Universidad,1,Presencial,False,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T08:59:49,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos regente de farmacia con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa. dispensación de medicamentos a pacientes. desarrollo de inventarios.  manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Tiempo Completo,Contrato por tiempo indefinido,700.00 US$ (Mensual),700,Regente de farmacia,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T08:10:40,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos Químico farmacéutico con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa realizando seguimiento farmacoterapéutico. manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Tiempo Completo,Contrato por tiempo indefinido,1.497.00 US$ (Mensual),1497,Químico farmacéutico,,,Universidad,1,Presencial,True,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T07:55:44,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos Médico especialista en Medicina Familiar con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa. manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Medio Tiempo,Contrato por tiempo indefinido,A convenir,0,Médico/a especialista en medicina familiar,,,Postgrado,1,Presencial,True,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T07:52:23,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos Médico especialista en Neumología con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa. manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Por Horas,Otro tipo de contrato,A convenir,0,Médico Neumólogo,,,Postgrado,1,Presencial,True,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T07:49:03,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos Médico especialista en Cardiología con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa. manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Por Horas,Otro tipo de contrato,A convenir,0,Médico Cardiólogo,,,Postgrado,1,Presencial,True,False,False,
False,False,SIES SALUD IPS,Ecuador,Medicina / Salud,2024-09-10T07:45:14,,2,,Guayas,,,Reconocida empresa del sector salud en Colombia con 17 años de trayectoria iniciara operación próximamente en Guayaquil (Ecuador):	Buscamos Médico especialista en Reumatología con documentación al día y con experiencia preferiblemente de 1 año en atención en consulta externa. manejo de diferentes patologías con diversos tipos de población. indispensable contar con alta disposición hacia el aprendizaje continuo. comunicación asertiva y vocación de servicio. 	Ofrecemos condiciones laborales estables y competitivas. te invitamos a postular tu hoja de vida. valoramos tu candidatura.	,Por Horas,Otro tipo de contrato,A convenir,0,Médico Reumatólogo,,,Postgrado,1,Presencial,True,False,False,
