cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,REGISTRA CALIDAD	,Ecuador,Diseño / Artes gráficas,2024-09-09T11:27:25,,,Edición de vídeo. Aceptación de errores y fracasos. Aprendizaje. Autoconfianza. Capacidad de decisión. Edición. Gestión del Tiempo. Habilidad comercial. networking. Iniciativa. Marketing. Publicidad. Social Media. Soporte al cliente. Redacción,Imbabura,,Freelance,¡Únete a un equipo en crecimiento! 		Buscamos un Asistente de Marketing Digital con ganas de aprender. que apoye en la creación de contenido y gestión de redes sociales. con proyección de crecimiento en un sector dinámico.		El Asistente de Marketing Digital será un apoyo clave en la ejecución de todas las actividades relacionadas con marketing digital. Sus principales funciones serán colaborar en la creación y gestión de contenido visual. participar en la implementación de estrategias para redes sociales. y apoyar en el análisis de métricas para optimizar campañas. Buscamos a estudiantes en los últimos semestres de marketing o recién graduados que deseen adquirir experiencia práctica. en un entorno flexible y con posibilidad de crecimiento profesional.		Responsabilidades principales:	- Desarrollar estrategias sencillas para redes sociales (TikTok. LinkedIn. Meta. X)	- Editar imágenes y videos cortos utilizando Canva	- Gestionar publicaciones y la interacción con la comunidad online	- Colaborar en campañas de email marketing y análisis de resultados	- Participar en el seguimiento de métricas para optimizar las estrategias	- Apoyar en la creación de informes sobre el rendimiento de las campañas		Requisitos:	- Estudios de marketing en curso (últimos semestres) o recién graduado	- Dominio de Canva para la edición de imágenes y videos cortos	- Conocimiento de gestión de redes sociales (TikTok. LinkedIn. Meta y X)	- Experiencia en email marketing	- Conocimiento básico de plataformas de trabajo compartido como OneDrive o Google Drive	- Residir en Ibarra y tener disponibilidad para reuniones presenciales		Características:	- Iniciativa para proponer ideas y buscar soluciones	- Alto sentido de responsabilidad y compromiso con las tareas asignadas	- Creatividad para desarrollar contenido visual atractivo	- Comunicación efectiva. tanto verbal como escrita	- Desenvuelto y autónomo. capaz de trabajar sin supervisión constante	- Perfil comercial. con interés en conectar con personas y hablar de ventas	- Buen manejo del tiempo y capacidad para organizar tareas	- Ganas de aprender y mejorar en el ámbito del marketing digital	- Empatía para conectar con la audiencia a través del contenido	- Excelente ortografía y habilidades de comunicación		Beneficios:	- Capacitación continua en estrategias de marketing digital. herramientas y nuevas técnicas	- Oportunidad de trabajar en un sector exclusivo vinculado a la regulación sanitaria y salud pública. con proyección internacional	- Horario de trabajo flexible. ideal para compaginar con estudios	- Posibilidad de crecimiento profesional en una empresa en expansión	- Entorno de aprendizaje en una organización enfocada en la calidad. la integridad y el amor por el conocimiento		Modalidad: Freelance	Horario: Máximo 4 horas diarias. 5 días a la semana	Ubicación: Remoto. con reuniones presenciales en Ibarra cada semana.	Contrato: Freelance	Compensación: El salario será a acordar según las horas trabajadas y la experiencia del candidato,Por Horas,Otro tipo de contrato,A convenir,0,Asistente de marketing,25,21,Universidad,1,Híbrido,False,False,False,
False,True,NEXON DIGITAL TECH,Ecuador,Mercadotecnia / Publicidad / Comunicación,2024-09-06T09:24:59,,2,Adobe Ilustrator. Adobe Photoshop. CRM. Creatividad. Gestión de proyectos. Marketing. Administración de archivos,Imbabura,Español ,con Expertise en Meta Ads,Funciones del Puesto: El Community Manager y Estratega Digital será responsable de la gestión integral de las redes sociales. incluyendo la creación y programación de contenido. la interacción con la comunidad y el monitoreo de la reputación online. Además. desarrollará y ejecutará estrategias digitales alineadas con los objetivos de la marca. optimizando el crecimiento y la participación de la audiencia. Este perfil también será el encargado de planificar. configurar y gestionar campañas publicitarias en Meta (Facebook e Instagram Ads). supervisando el rendimiento de las mismas. ajustando presupuestos y segmentaciones. y generando reportes para asegurar el máximo retorno de inversión (ROI).		Se requiere una persona proactiva. con habilidades analíticas y creativas. capaz de proponer nuevas estrategias basadas en datos. optimizar las campañas y contribuir al crecimiento de la presencia digital de la marca.,Tiempo Completo,Contrato de obra o labor,550.00 US$ (Mensual),550,Estratega Digital y Community Manager,40,26,Universidad,1,Híbrido,False,False,False,
False,False,ISELL & CS CORP S.A.S.,Ecuador,Contabilidad / Finanzas,2024-09-06T04:14:18,,2,Contabilidad. Administración de archivos. Administración de sistemas,Imbabura,,con experiencia,Experiencia mínima un año comprobable	Contabilidad nivel medio	Conciliación bancarias	Análisis financiero	NIIFS	Registro de asientos contables	Ajustes	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar contabilIdad,,,Universidad,3,Presencial,False,False,False,
False,False,ECUASUEÑA S.A ,Ecuador,Ventas,2024-09-05T04:34:10,,,,Imbabura,,Comercial, ¡Únete a nuestro equipo como ejecutivo comercial en crédito vehicular! 		¿Te apasionan las ventas y el mundo automotriz? ¡Esta es tu oportunidad! Estamos en búsqueda de Ejecutivos Comerciales con experiencia en crédito vehicular o ventas de crédito automotriz. Si eres una persona dinámica. con habilidades de negociación y orientación al cliente. ¡te estamos esperando! ¿Qué ofrecemos? Un ambiente de trabajo en constante crecimiento.	 Oportunidades de desarrollo profesional.	 Atractivas comisiones por cumplimiento de metas.		Requisitos: .			Experiencia previa en ventas de crédito vehicular o automotriz.		Habilidad para establecer relaciones comerciales sólidas.		Foco en el cumplimiento de objetivos y metas.		 Postúlate ahora y acelera tu carrera con nosotros! ,Tiempo Completo,Otro tipo de contrato,A convenir,0,Ejecutivo ventas,,,Bachillerato / Educación Media,1,Presencial,True,False,False,
False,True,TAME AIRLINES ,Ecuador,Almacén / Logística / Transporte,2024-09-04T17:16:35,,-1,Capacidad de decisión. Creación de equipos. Hablar en público. Servicio al cliente. Primeros auxilios,Imbabura,Inglés ,Medio tiempo. inglés basico. buena presentación,persona responsable de garantizar la seguridad de los usuarios dentro de las instalaciones del aeropuerto. Se encarga también de la supervisión. control y vigilancia de las terminales. la plataforma de aeronaves y los accesos al aeropuerto.Monitorean la seguridad de la cabina de vuelo. Proveen servicios a los pasajeros de las líneas aéreas durante el vuelo. explican la información de seguridad. sirven comidas y bebidas. y responden a incidentes de emergencia.Recibir a los pasajeros. darles la bienvenida y acomodarlos en sus asientos. Atender los requerimientos de los pasajeros y proporcionarles bebida y comida. asegurándose de que tienen un viaje agradable y cómodo. Informar a los viajeros de las normas del vuelo. y los procedimientos de evacuación y salidas de emergencia. ,Medio Tiempo,Contrato por tiempo determinado,A convenir,0,Agente de seguridad. Auxiliar de vuelo.  azafata,36,22,Bachillerato / Educación Media,3,Presencial,False,False,True,
False,False, DIAZ VALENCIA SEGUNDO RAFAEL,Ecuador,Hostelería / Turismo,2024-09-03T15:24:53,,2,Adaptación al cambio. Contabilidad. Gestión de ventas,Imbabura,,Turno en la noche co,Recepción de huéspedes. facturación.  elaboración  de informes. revisión de ventas . atencion al cliente en area de restaurante. arreglo y limpieza  de areas comunes. seguridad del área. Resolución inmediata de problemas.,Tiempo Completo,Otro tipo de contrato,400.00 US$ (Mensual),400,Recepcionista nocturno,40,20,Educación Técnico/Profesional,1,Presencial,False,False,False,
False,False,ISELL & CS CORP S.A.S.,Ecuador,Contabilidad / Finanzas,2024-08-28T11:28:48,,2,Microsoft Excel. Administración de archivos. Administración de sistemas,Imbabura,Español ,con experiencia,Experiencia comprobable	Manejo estados financieros	Manejo de cuentas contables	Tributación	Declaraciones SRI	Retenciones .facturación. notas de crédito anulaciones 	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar contable,,,Universidad,2,Presencial,False,False,False,
False,True,Casamolino Ecuador Cia Ltda,Ecuador,Hostelería / Turismo,2024-08-26T14:43:07,,5,Administración,Imbabura,Inglés ,Experiencia minima de 5 años,Funciones principales:	Responsable de la gestión operativa del hotel. que incluye: recepción. housekeeping. mantenimiento. procesos. administración. jardineria. huertos. restaurante.	Recepción: supervisar la función y servicio brindado por el área de Recepción.	Housekeeping: supervisar el correcto funcionamiento de limpieza y mantenimiento de las habitaciones. áreas comunes. jardines. restaurante. A&B. salón. etc.	Mantenimiento y operatividad de equipos: verificar el correcto funcionamiento de los equipos según las especificaciones.  Planificar y coordinar el mantenimiento preventivo y correctivo de la propiedad. Gestionar los contratos de mantenimiento vigentes.	Procesos: optimizar los procesos de las áreas operativas para asegurar la mejor experiencia del huésped. bajo estándares definidos y normas vigentes. con la mayor calidad del servicio.	Servicio al cliente: Asegurar un buen servicio al huésped. desarrollar la relación con clientes. promoviendo activamente el incremento de la facturación y valoraciones sobresalientes del servicio. Ayudar a resolver quejas y reclamos de reservas. facturación y otros.	Garantizar que todo el personal cumpla con los estándares operativos y de servicio. además de las políticas y procedimientos del hotel.		Estudios universitarios o técnicos completos en Administración Hotelera. Turismo y Hotelería. o carrera afín. 	Experiencia mínima de 3 años como Jefe de Operaciones o Administrador de Hotel de 3 ó 4 estrellas (INDISPENSABLE).  De preferencia con experiencia previa en el área de Recepción.	Manejo de Office a nivel usuario: Excel. Word y Power Point.	Inglés avanzado en compresión y fluido en conversación (INDISPENSABLE).	Disponibilidad para residir en la ciudad de Otavalo,Tiempo Completo,Otro tipo de contrato,A convenir,0,Jefe Operativo,55,30,Educación Técnico/Profesional,1,Presencial,False,False,True,
True,True,Casamolino Ecuador Cia Ltda,Ecuador,Hostelería / Turismo,2024-08-26T14:43:07,,5,Adaptación al cambio,Imbabura,,,Funciones 	Realizan el check-in y el check-out de los clientes. pidiendo la documentación necesaria para registrarlo en la base de datos y poderles asignar y entregarles las llaves de las habitaciones.	Proporcionan todo tipo de información acerca del hotel. sumado a que tramitan los servicios contratados por los huéspedes. ya sea en persona o por otros medios como telefonía o correos electrónicos.	Mantienen un control de las personas que entran y salen del establecimiento. usando siempre la cortesía. Con ello pueden comunicarse con el equipo de seguridad cuando sea necesario.	Resuelven los posibles conflictos que lleguen a surgir con los clientes como el uso de camas supletorias o necesidades especiales.	Se encargan de facturar todo lo que consuman y los servicios de los visitantes del Hotel.	Tramitan las quejas y reclamaciones de los clientes.		Requisitos:	Estudios universitarios o técnicos completos en Administración Hotelera. Turismo y Hotelería. o carrera afín. 	Experiencia mínima de 3 años como Recepcionista  de Hotel de 3 ó 4 estrellas (INDISPENSABLE).  	Manejo de Office a nivel usuario: Excel. Word y Power Point.	Inglés avanzado en compresión y fluido en conversación (INDISPENSABLE).	Disponibilidad para vivir en la Hacienda ,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asistente de Recepcion,50,20,Educación Técnico/Profesional,1,Presencial,False,False,True,
False,True,CINTAS TEXTILES S.A.,Ecuador,Ventas,2024-08-21T16:49:09,,3,Microsoft Excel. Atención al cliente. Autoconfianza. Comunicación y persuasión. Gestión de ventas. Orientación al logro. Planificación. Resolución de problemas. Asesoría comercial,Imbabura,,Imbabura Esmeraldas,PRINCIPALES FUNCIONES:		Cumplir con el Presupuesto asignado a su zona.	Desarrollar el conocimiento de los productos que vende. mediante las capacitaciones que la empresa imparte.	Contactar y visitar constantemente de acuerdo al plan de visita a los clientes (activos y potenciales).	Mantener y mejorar la participación en el mercado.	Evaluar constantemente la competencia y nuevos productos en el mercado.	Ingresar pedidos en sistema.	Diligenciar los formularios y procedimientos para registrar las operaciones de venta y crédito.	Velar y seguimiento por la correcta y oportuna entrega del producto. en cuanto a la calidad. requerimientos y tiempos.	Elaborar plan de visitas diario y semanal.	Dar seguimiento a las ventas y post venta.	Cuidar el comportamiento de pago de su cartera de clientes vigentes.	,Tiempo Completo,Otro tipo de contrato,1.000.00 US$ (Mensual),1000,Asesor Comercial,50,28,Educación Técnico/Profesional,1,Presencial,False,False,True,
