cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,HUEBLA PINGOS HILDA VERONICA,Ecuador,Contabilidad / Finanzas,2024-09-09T17:01:47,,3,Análisis financiero,Santa Elena,Inglés ,Tiempo completo. experiencia 3 años,•	Identificar y realizar informes sobre los datos de la empresa. investigando diversas fuentes como la base de datos de la empresa. sus redes sociales. etc.	•	Analizar y procesar los datos recogidos	•	Estudiar las tendencias del mercado	•	Aplicar en la empresa las nuevas tendencias que se hayan estudiado. buscando una mejora y desarrollo	•	Asegurar que no haya datos incoherentes. duplicados o inválidos en la base de datos de la empresa	•	Diseñar algoritmos y manejo de varios lenguajes de programación	,Tiempo Completo,Contrato por tiempo determinado,A convenir,0,Analista contable,45,28,Universidad,1,Presencial,False,False,False,
False,True,CLEMENTE MENDEZ DENISSE ROMINA,Ecuador,Contabilidad / Finanzas,2024-09-09T17:01:47,,3,,Santa Elena,,en la mañana,Proporcionar información contable y financiera significativa. oportuna. relevante. completa. comparable y verificable que permita a los diversos usuarios internos y externos evaluar alternativas y tomar decisiones.,Tiempo Completo,Contrato por tiempo determinado,A convenir,0,Contador financiero,40,25,Universidad,7,Presencial,False,False,True,
False,True,HUEBLA PINGOS HILDA VERONICA,Ecuador,Contabilidad / Finanzas,2024-09-09T17:01:47,,3,Análisis financiero,Santa Elena,Inglés ,Tiempo completo. experiencia 3 años,•	Identificar y realizar informes sobre los datos de la empresa. investigando diversas fuentes como la base de datos de la empresa. sus redes sociales. etc.	•	Analizar y procesar los datos recogidos	•	Estudiar las tendencias del mercado	•	Aplicar en la empresa las nuevas tendencias que se hayan estudiado. buscando una mejora y desarrollo	•	Asegurar que no haya datos incoherentes. duplicados o inválidos en la base de datos de la empresa	•	Diseñar algoritmos y manejo de varios lenguajes de programación	,Tiempo Completo,Contrato por tiempo determinado,A convenir,0,Analista contable,45,28,Universidad,1,Presencial,False,False,False,
False,True,,,Otros,2024-09-08T10:21:56,,-1,,Santa Elena,,Salinas,Importante empresa de Investigación de mercados requiere contratar AUDITOR DE CAMPO en SALINAS. La misión del cargo es:		Desplazarse en ciudades a nivel nacional para recolectar información. mediante una app en teléfono celular. que contiene las principales características físicas de los establecimientos y de los productos que correspondan encuestar. 		REQUISITOS:	- Residir en SALINAS	- Disponibilidad para viajar constantemente fuera de la ciudad.	- Bachiller o con estudios de tercer nivel inconclusos.	- Experiencia de al menos 3 meses en trabajo en campo (Indispensable)		BENEFICIOS:	- Salario mensual de $477	- Bono de transporte $50	- Beneficios sociales y empresariales		Por favor aplicar en caso de cumplir con el perfil.,Tiempo Completo,Otro tipo de contrato,467.00 US$ (Mensual),467,Auditor / Encuestador de campo,0,20,Bachillerato / Educación Media,1,Presencial,False,True,False,
False,False,ALMESPANA CÍA. LTDA.,Ecuador,Almacén / Logística / Transporte,2024-09-05T10:07:19,,1,,Santa Elena,,con experiencia,INDISPENSABLE EXPERIENCIA EN BODEGA	1.	Custodiar la mercadería y darle continua vigilancia	2.  Cargar. descargar. empacar. despachar mercadería en el Almacén. mantener orden y limpieza del área de trabajo y de la mercadería. organización y control de inventario.	3.	Llevar un correcto archivo de la documentación. tales como ingresos de mercadería. ingresos de bodega. guías de remisión. facturas pendientes de despacho.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Bodeguero para la Ciudad de la Libertad,35,20,Bachillerato / Educación Media,1,Presencial,True,False,False,
True,True,PORKGEN S.A.,Ecuador,Administración / Oficina,2024-09-04T17:16:32,,1,Administración de sistemas,Santa Elena,Español ,Asistente,- Titulo de tercer nivel en carreras administrativas	- Experiencia minima en cargos similares 2 años	- Conocimientos sólidos de excel y herramientas administrativas	- Licencia de conducir,Tiempo Completo,Otro tipo de contrato,550.00 US$ (Mensual),550,Asistente Administrativo,30,18,Bachillerato / Educación Media,2,Presencial,False,False,True,
False,True,DAYMABEL CORPORATEGROUP S.A.S.,Ecuador,Ventas,2024-09-03T15:24:53,,-1,Aceptación de errores y fracasos. Adaptación al cambio. Atención al cliente. Creación de equipos. Creatividad. Desarrollo de negocio. Asesoría comercial. Call Center,Santa Elena,,A convenir,Visitar clientes en su residencia 	Agenda de citas 	Cobro de carteras 	Seguimiento clientes 	Entrenamientos diarios 	Capacitaciones constantes 	Manejo de base de datos 	Participación a eventos 	Disponibilidad de viaje ,Medio Tiempo,Contrato de obra o labor,A convenir,0,Agente de ventas y atención a clientes,50,19,Bachillerato / Educación Media,10,Híbrido,False,False,True,
False,True,H&E MULTISERVICIOS S.A.S.,Ecuador,Mantenimiento y Reparaciones Técnicas,2024-08-26T14:43:06,,3,Resolución de problemas. Tecnología. Trabajo en equipo,Santa Elena,Inglés ,Con Experiencia,Experiencia en Servicios de Mantenimiento o reparación de Variadores. Certificación en mantenimiento y comisionado de variadores de media y baja tensión. Emitidos por fabrica . Manejo de software para simulación y configuración del Variadores,Medio Tiempo,Contrato de obra o labor,A convenir,0,Ingeniero electronica,0,21,Universidad,2,Presencial,False,False,True,
False,True,DAYMABEL CORPORATEGROUP S.A.S.,Ecuador,Compras / Comercio Exterior,2024-08-23T07:45:05,,-1,Aceptación de errores y fracasos,Santa Elena,Español ,externo,somos uina empresa que se requeire personal en el area de ventas somos lideres en el mercado.	1. Presentacion personal excelente	2. liderazgo	3. trabajo en equipo.	4. espiritu emprendedor.	5.disponibiliad a crecer,Tiempo Completo,Contrato de obra o labor,A convenir,0,Asesor/a comercial,60,18,Educación Básica Primaria,5,Híbrido,False,False,True,
False,False,Equilibrium Social Development Consulting,Ecuador,Investigación y Calidad,2024-08-23T00:22:28,,,,Santa Elena,,Encuestas presenciales en terreno,Realización de encuestas presenciales en Salinas y La Libertad. Se espera que cada encuestador cumpla con 3 encuestas diarias durante 15 días laborables de trabajo.El encuestador debe contar con un dispositivo móvil propio y disponibilidad de movilizarse localmente a partir de la segunda semana de septiembre de 2024. Se realizarán monitoreos diarios de parte de una Coordinadora de Campo. Los encuestadores deben participar en una sesión virtual de capacitación. 		Los sectores a realizar las encuestas presenciales son: 	Virgen Del Carmen 2	5 De junio 2002	Libertad Centro 3	Virgen Del Carmen 1	Santa Rosa 3	Enríquez Gallo 1	Libertad Centro 4,Por Horas,Contrato de obra o labor,A convenir,0,Encuestador/a,,,Educación Técnico/Profesional,8,Presencial,False,False,True,
True,True,HOTELES DECAMERON ECUADOR S.A,Ecuador,Otros,2024-08-15T09:49:01,,2,,Santa Elena,,Santa Elena,Gestionar. evaluar y controlar la implementación del SG-SST en el centro de trabajo. permitiendo su implementación y el cumplimiento de la normativa jurídica vigente. indicadores de gestión. objetivos y metas de la organización. Propendiendo a la mitigación de accidentes y enfermedades laborales. fomentado una cultura de prevención.		Conocimientos específicos:		Manejo de la normativa nacional e internacional vigente	Manejo de Sistemas de Gestion de SST	Manejo de paquetes office.	Manejo de presupuesto	Conocimiento de auditorias al Sistema de Gestión de SST	Certificaciones en prevención de riesgos laborales emitidos por el ente regulador 		Formación:	Ing o técnicos en seguridad y salud ocupacional 		Por favor aplicar solo las personas que cumplan con el perfil.,Tiempo Completo,Contrato por tiempo indefinido,800.00 US$ (Mensual),800,Responsable de prevencion de riesgos,40,25,Educación Técnico/Profesional,1,Presencial,False,False,False,
