cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,INDUSTRIA ALIMENTICIA SAN FRANCISCO,Ecuador,Docencia,2024-09-09T14:35:12,,3,,Tungurahua,,Viva en Ambato,Enviar su Postulación a: centrocenfor g m a i l com	SOLO SI CUMPLE LO DETALLADO		Empresa de Capacitación requiere contratar Docente que Vivan en Ambato. de áreas de conocimiento Contratación Pública		Interesados. remitir su hoja de vida al siguiente correo electrónico	centrocenfor g m a i l com		cero nueve ocho cuatro cuatro cuatro ocho siete nueve tres	whatsapp con Econ. Daniel Guerrón Director General		NOTA: Por favor sino cumple los requisitos (Vivir en Ambato) no se postule.	Nuestro tiempo es valioso como el suyo.,Medio Tiempo,Contrato de obra o labor,A convenir,0,Docente de Contratacion Pública,0,30,Universidad,1,Presencial,False,False,True,
False,True,,,Otros,2024-09-08T10:18:05,,-1,,Tungurahua,,Ambato,Importante empresa de Investigación de mercados requiere contratar AUDITOR DE CAMPO en AMBATO. La misión del cargo es:		Desplazarse en ciudades a nivel nacional para recolectar información. mediante una app en teléfono celular. que contiene las principales características físicas de los establecimientos y de los productos que correspondan encuestar. 		REQUISITOS:	- Residir en AMBATO	- Disponibilidad para viajar constantemente fuera de la ciudad.	- Bachiller o con estudios de tercer nivel inconclusos.	- Experiencia de al menos 3 meses en trabajo en campo (Indispensable)		BENEFICIOS:	- Salario mensual de $477	- Bono de transporte $50	- Beneficios sociales y empresariales		Por favor aplicar en caso de cumplir con el perfil.,Tiempo Completo,Otro tipo de contrato,467.00 US$ (Mensual),467,Auditor / Encuestador de campo,0,20,Bachillerato / Educación Media,1,Presencial,False,True,False,
False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Ventas,2024-09-04T17:16:35,,2,Ventas,Tungurahua,,ventas de intangibles,Identificar. generar y cerrar oportunidades de negocio para nuestros servicios	Creación de cartera de clientes 	Prospección y calificación de clientes potenciales	Negociación y cierre de ventas	Elaboración de informes	enviar hoja de vida *******@orizontel.ec 	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,asesor comercial,37,27,Universidad,1,Presencial,False,False,False,
False,False,AUTOMUNDIAL ECUADOR SA,Ecuador,Ventas,2024-09-04T10:55:59,,2,,Tungurahua,,Ventas en frio/sector automotriz,¡Importante compañía del sector automotriz requiere para su equipo de trabajo el mejor Talento Humano! 		Requiere para su equipo de trabajo asesor comercial. con experiencia en el sector comercial para realizar labores de ventas de llantas. creación de nuevos clientes. cobros. con experiencia preferiblemente en el sector automotriz (llantas. aceites. accesorios de vehículos) y en ventas en frío. Con mínimo dos años de experiencia en el sector.		Ofrecemos:		- Salario básico: $ 500 Básico + Comisiones 	- Comisiones por ventas y cobranzas	- Todos los beneficios de Ley	- Horarios: lunes a viernes 8:00 a.m. 5:00 p.m.  Sábados Medio día. 		¡IMPORTANTE!		Contar con experiencia en venta de llantas. lubricantes. baterías o sector reencauche. contar con conocimiento del mercado de flotas de la zona por favor debe tener CARRO para movilizarse		¡POSTULATE SI CUMPLES CON LOS REQUISITOS Y CUMPLES CON LAS CONDICIONES!,Tiempo Completo,Contrato por tiempo determinado,500.00 US$ (Mensual),500,Asesor comercial/repuestos de carros lubricantes/ ventas de llantas/ Ambato o Riobamba,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
False,False,CTBJ Company MBR,Ecuador,Almacén / Logística / Transporte,2024-09-03T04:34:10,,-1,,Tungurahua,,,Como jefe de pruebas a usted le solicitan un informe de pruebas. Considerando las actividades de pruebas y de acuerdo al estándar IEEE 829. ¿Qué debería tener en cuenta usted en su informe,Por Horas,Contrato de obra o labor,15.000.00 US$ (Mensual),15000,Test automation Engineer QA,,,Educación Básica Secundaria,1,Presencial,True,False,True,
False,False,,,Almacén / Logística / Transporte,2024-09-03T04:14:09,,,,Tungurahua,,,A menudo dedica tiempo personal a mejorar o completar un trabajo.|Se esfuerza por hacer bien su trabajo y lo prioriza frente a otros aspectos de su vida.|Dedica tiempo fuera del horario laboral a mejorar su trabajo.|Está dispuesto a asumir la responsabilidad de cualquier tarea.,Tiempo Completo,Contrato por tiempo indefinido,10.000.00 US$ (Mensual),10000,Ingeniero QA Verification Products,,,Bachillerato / Educación Media,1,Presencial,False,True,True,
False,False,INDUSTRIA ALIMENTICIA SAN FRANCISCO,Ecuador,Docencia,2024-09-02T23:33:57,,3,,Tungurahua,,Únicamente de Ambato,Enviar su Postulación a: centrocenfor g m a i l com 	SOLO SI CUMPLE LO DETALLADO		Empresa de Capacitación requiere contratar Docentes que Vivan en Ambato. de áreas de conocimiento Contratacion Pública. Derecho. Administración de Empresas		Interesados. remitir su hoja de vida al siguiente correo electrónico de	cenforpro centrocenfor g m a i l com 		 cero nueve ocho cuatro cuatro cuatro ocho siete nueve tres 	whatsapp con Econ. Daniel Guerrón Director General 		NOTA: Por favor sino cumple los requisitos (Vivir en Ambato) no se postule.	Nuestro tiempo es valioso como el suyo.	,Medio Tiempo,Contrato de obra o labor,A convenir,0,Docente Contratacion. Derecho. Administración,60,25,Universidad,3,Presencial,False,False,True,
False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Ventas,2024-08-23T07:45:05,,2,Comunicación y persuasión. Negociación. Tecnología de la información. Trabajo en equipo,Tungurahua,Inglés ,Experiencia de 2 años comprobables,Funciones:	Identificar. generar y cerrar oportunidades de negocio para nuestros servicios	Creación de cartera de clientes 	Prospección y calificación de clientes potenciales	Negociación y cierre de ventas	Elaboración de informes		Requisitos:	Titulo de tercer en Ing. Comercial. marketing o Afines	Experiencia de 2 años comprobables en venta de intangibles	Habilidades de comunicación	Conocimientos de seguridad informática en software y hardware	Capacidad para trabajar bajo presión		Ofrecemos:	Un paquete de compensación competitivo	La oportunidad de trabajar con tecnología de vanguardia,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,asesor comercial en ciberseguridad,35,26,Universidad,1,Presencial,False,False,False,
False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Informática / Telecomunicaciones,2024-08-23T07:45:05,,2,SQL Server. AutoCAD. Análisis. Servicio al cliente. Soporte al cliente. Tecnología de la información. Trabajo en equipo. Big Data. Redes. Administración de sistemas,Tungurahua,Inglés ,con experiencia,Requisitos:	Ing. telecomunicaciones y redes. mg. ciberseguridad	Certificados en cableado estructurado Panduit o Nextt	Certificado Fortinet NS3 minimo. NS4 o equivalete	 certificado Mikrotik MTCNA. MTCTCE	Administración de data center. mikrotik. Zkaccess. WMWARE. Firewall Fortinet. Sophos	Administración y gestión de redes server	Experiencia de 2 años en cargos de analista de ciberseguridad		Conocimientos adicionales:	Sistemas de alarmas	Sistemas contra incendios	Sistemas cctv y acceso Hivision	Sistemas de control de acceso	 ,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,analista de ciberseguridad. datos y accesos,37,27,Postgrado,1,Presencial,False,False,False,
False,True,MEGAKONS S.A.,Ecuador,Compras / Comercio Exterior,2024-08-20T12:24:40,,2,,Tungurahua,Inglés ,,Megakons S.A. es una empresa dedicada a la importación. comercialización y distribución de materiales de construcción. ferretería y acabados. trabaja con su gente y en sus procesos de manera comprometida para satisfacer a sus clientes con servicios y productos que construyan relaciones de valor.		La empresa requiere contar un Asistente de Importaciones con el siguiente perfil:		Ciudad de residencia : Ambato		Requisitos:	 - Profesional en Comercio Exterior. Comercio Internacional o afines.	 - Experiencia mínima de 2 en importaciones. segmento de la construcción 	    y/o ferretería os electrónicos.	 - Conocimiento de office Intermedio - Avanzado		Retos del puesto:	 - Búsqueda de proveedores para nuevos mercados	 - Análisis de mercado de productos para la toma de decisiones	 - Gestión de documentos de importación. (BL. CI. CO. DCP)	 - Seguimiento de operaciones logísticas.		Competencias:	 - Habilidad analítica	 - Iniciativa	 - Innovación y Creatividad	 - Monitoreo		Beneficios:	Beneficios de ley.	Beneficios corporativos.	Oportunidades de crecimiento.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asistente de Importaciones,0,26,Universidad,1,Presencial,False,False,True,4.7
