id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
63E9B96CE338AD0A61373E686DCF3405,False,False,BESTBRIAN CIA.LTDA.,Ecuador,Cuenca,Azuay,Ecuador,Mercadotecnia / Publicidad / Comunicación,2024-09-11T12:07:17,2024-10-31T00:00:00,2,,,Prestigiosa empresa líder en el sector educativo. está buscando un Jefe de Marca para liderar el desarrollo y la implementación de estrategias que posicionen nuestra marca a la vanguardia de la innovación educativa.	Objetivos:	- Desarrollar y ejecutar planes de marketing integrales para fortalecer nuestra marca y aumentar su visibilidad.	- Identificar oportunidades de crecimiento y desarrollar estrategias para alcanzar los objetivos de negocio.	- Gestionar y optimizar el presupuesto de marketing. asegurando un retorno de inversión óptimo.	- Analizar el mercado y a la competencia para identificar tendencias y oportunidades.		Requisitos:	- Título universitario en Marketing. Administración de Empresas o carrera afín.	- Experiencia mínima de 2 años en posiciones similares.	- Sólidos conocimientos en marketing digital. branding. análisis de datos y gestión de campañas.	- Habilidades de liderazgo. comunicación y negociación.	- Proactividad. creatividad y orientación a resultados.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Jefe de marca,con experiencia,Mercadotecnia / Publicidad / Comunicación,45,28,Educación Técnico/Profesional,1,Presencial,False,False,False,
D645FF113990CFF961373E686DCF3405,False,False,,Ecuador,Camilo Ponce Enríquez,Azuay,Ecuador,Mantenimiento y Reparaciones Técnicas,2024-09-11T04:04:09,2024-09-11T04:04:09,,,,Para nuestro equipo de desarrollo. estamos buscando un especialista QA. Las principales tareas serán: testear los portales web y las aplicación mobile de nuestras marcas. tanto las áreas privadas de nuestras empresas cliente como él portal público al que acceden los usuarios. Asimismo. la persona que se incorpore se encargará de automatizar de los test integrados de las plataformas.  ¿A quién buscamos?  Tenemos en mente personas que sientan verdadera pasión por la tecnología. profesionales. con ganas de sugerir e innovar y que tengan ganas de aprender y crecer profesionalmente. Experiencia como QA de al menos 1 año. Experiencia creando tests automatizados de integración en proyectos web. Deseable conocimiento de desarrollo básicos en entornos .NET ,Por Horas,Contrato por tiempo indefinido,A convenir,0,QA Tester NNN,,Mantenimiento y Reparaciones Técnicas,,,Educación Básica Primaria,1,Presencial,False,True,True,
1849CC953BADD62161373E686DCF3405,False,True,Compufacil Cía. Ltda.,Ecuador,Cuenca,Azuay,Ecuador,Informática / Telecomunicaciones,2024-09-11T04:04:12,2024-09-11T04:04:12,3,,Inglés ,Conocimiento de redes y telecomunicaciones. Windows server. programación y VMware. office 365. Administración. mantenimiento técnico de equipos.		Realizar tareas de mantenimiento de servidores para asegurar la integridad y la performance de las bases de datos.		Implementar soluciones de monitorización y escalabilidad para asegurar que los servicios. estén siempre disponibles y puedan manejar incrementos en la carga de trabajo.		Diagnosticar y resolver problemas técnicos reportados por los usuarios o detectados en los sistemas.		Proveer soporte técnico a los usuarios finales y a otros equipos internos cuando sea necesario.		Identificar oportunidades para optimizar procesos y flujos de trabajo existentes.		Mantener documentación técnica actualizada y crear nueva documentación según sea necesario para guiar a otros desarrolladores y equipos de soporte.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Soporte TI,Con experiencia,Informática / Telecomunicaciones,45,25,Educación Técnico/Profesional,2,Presencial,True,False,True,
63976D70FDC323FB61373E686DCF3405,False,True,,Ecuador,Cuenca,Azuay,Ecuador,Almacén / Logística / Transporte,2024-09-11T04:04:07,2024-09-11T04:04:07,3,,,Necesitamos Incorporar a nuestro equipo de trabajo DESPACHADORES que cumplan con el siguiente perfil: 	Formación académica: Bachiller	Experiencia previa en despachos / armar pedidos / cuadre de caja	Disponibilidad para viajar 	Experiencia previa en levantamiento de cargas		Disponibilidad para trabajar en turnos rotativos		 Disponibilidad para trabajar horarios extendidos	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Despachador/a,Ayudante de ruta,Almacén / Logística / Transporte,,,Bachillerato / Educación Media,2,Presencial,False,True,False,
58ED29E5067293BF61373E686DCF3405,False,False,Distribuidora Armijos Romero Cia. Ltda.,Ecuador,Cuenca,Azuay,Ecuador,Contabilidad / Finanzas,2024-09-11T04:04:07,2024-09-11T04:04:07,2,Microsoft Excel. Contabilidad. Gestión. Trabajo en equipo. Administración de archivos,,Contador auxiliar con experiencia en: Conciliaciones bancarias. Retenciones y facturas. Manejo de Cajas. Cuadres de Cuentas Contables. Gestión de trámites varios. Preparación de Balances. Atención a clientes.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Contador Auxiliar,con experiencia,Contabilidad / Finanzas,,,Universidad,1,Presencial,False,False,False,4.4
6423D64825E3668761373E686DCF3405,False,True,SERVICIO AEREO REGIONAL REGAIR CIA. LTDA.,Ecuador,Cuenca,Azuay,Ecuador,Atención a clientes,2024-09-10T21:28:24,2024-09-10T21:28:24,-1,Adaptación al cambio. Autoconfianza. Capacidad de decisión,Inglés ,darles la bienvenida y acomodarlos en sus asientos. Atender los requerimientos de los pasajeros y proporcionarles bebida y comida. asegurándose de que tienen un viaje agradable y cómodo. Informar a los viajeros de las normas del vuelo. y los procedimientos de evacuación y salidas de emergencia. Este profesional se dedica a atender. ayudar e informar a los pasajeros que están en tránsito en un aeropuerto. Su actividad es muy amplia ya que resuelve cualquier tipo de problemas que planteen los pasajeros. Son su punto de apoyo.	Ayudar a los pasajeros con cualquier petición que tengan. como solicitudes de sillas de ruedas o asistencia especial.	Agente de servicio al pasajero en inglés	Que hace un agente de tráfico en el aeropuerto	Agente de atención al pasajero: Descripción del puesto. salario y ...	Su función laboral implica ayudar a los pasajeros con sus necesidades de viaje. incluido el check-in. 	Es la persona que se ocupa de la elaboración del plan de vuelo de los aviones. juntamente con los pilotos. Tiene en cuenta muchos aspectos como las condiciones meteorológicas de la ruta y del lugar de destino. el combustible necesario,Medio Tiempo,Contrato por tiempo determinado,A convenir,0,Azafato/a. Agente de servicio al pasajero. despachador de vuelo,Medio tiempo. buena presentación. inglés basico,Atención a clientes,37,22,Bachillerato / Educación Media,4,Presencial,False,False,True,
3D43C942945A4BC461373E686DCF3405,False,False,TOTAL SOURCES COMPANY SURCOM CIA.LTDA.,Ecuador,Cuenca,Azuay,Ecuador,Ventas,2024-09-10T18:30:22,2024-09-15T00:00:00,1,Comunicación y persuasión. Gestión de ventas. Gestión del Tiempo. Orientación al logro. Resolución de problemas. Tecnología. Ventas. Facturación. Gestión de inventarios,,Venta de Productos y Servicios: Realizar la venta de celulares. accesorios y planes telefónicos. brindando una atención personalizada para satisfacer las necesidades del cliente.	Gestión de Inventarios: Controlar y organizar el inventario de productos. asegurando la correcta disponibilidad y exhibición en la tienda.	Atención al Cliente: Ofrecer un servicio de atención al cliente excepcional. atendiendo consultas. quejas y sugerencias de manera eficiente y amable.	Mantenimiento del Local: Colaborar en las tareas de mantenimiento general del local para garantizar un entorno limpio y ordenado.	Rotación entre Tiendas: Tener la disponibilidad para trabajar en cualquiera de las 4 tiendas ubicadas en Cuenca. según las necesidades del negocio.	Flexibilidad Horaria: Trabajar en horarios flexibles. incluyendo fines de semana. para adaptarse a los requerimientos del centro comercial.	Cumplimiento de Metas de Ventas: Impulsar las ventas para alcanzar los objetivos establecidos. demostrando proactividad y compromiso con los resultados.		Habilidades Valoradas:	Puntualidad. responsabilidad y capacidad para cumplir metas.	Carisma y habilidades interpersonales para una atención al cliente de calidad.	Manejo básico de computadora en un entorno de ventas dinámico y digital.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Asesor de Ventas Polifuncional,Celulares y planes telefónicos con experiencia,Ventas,30,20,Bachillerato / Educación Media,2,Presencial,False,False,False,
39B46C237D8E1C3861373E686DCF3405,False,False,BRITO&ASO CONSULTING CIA. LTDA,Ecuador,Cuenca,Azuay,Ecuador,Contabilidad / Finanzas,2024-09-10T14:10:27,2024-09-15T00:00:00,2,Contabilidad,,CONOCIMIENTOS ACTUALIZADOS DE CONTABILIDAD Y TRIBUTACION. EXCELENTE ATENCION AL CLIENTE.	*EEFF 	*CONCILIACIONES BANCARIAS	*INGRESO DE FACTURAS. 	*RETENCIONES	*MANEJO SISTEMAS CONTABLES	*MANEJO PAQUETE OFICE. EXCEL AVANZADO,Tiempo Completo,Otro tipo de contrato,A convenir,0,Auxiliar contable,Con Experiencia,Contabilidad / Finanzas,30,23,Universidad,1,Presencial,False,False,False,
3D9BE18BF816722561373E686DCF3405,False,False,BRITO&ASO CONSULTING CIA. LTDA,Ecuador,Cuenca,Azuay,Ecuador,Contabilidad / Finanzas,2024-09-10T14:10:27,2024-09-15T00:00:00,-1,Microsoft Excel. Atención al cliente,,SATISFACER LAS NECESIDADES DE COMUNICACIÓN. ATENDER AL PÚBLICO EN SUS REQUERIMIENTOS DE INFORMACIÓN Y CONTACTOS CON EL PERSONAL. EJECUTAR Y CONTROLAR LA RECEPCIÓN. REALIZAR LABORES SECRETARIALES. SERVIR DE APOYO A LAS ACTIVIDADES ADMINISTRATIVAS ENCOMENDADAS.	CONOCIMIENTOS BÁSICOS DE CONTABILIDAD. 	EXCELENTE ATENCION AL CLIENTE 	MANEJO DE EXCEL	TITULO DE BACHILLLER	CONOCIMIENTO DE PAQUETE DE OFFICE (WORD. EXCEL. POWER POINT. PDF),Tiempo Completo,Otro tipo de contrato,A convenir,0,Secretaria Contable,Con Experiencia,Contabilidad / Finanzas,26,19,Bachillerato / Educación Media,1,Presencial,False,False,False,
081400B0CB37BCD761373E686DCF3405,False,False,CUENCALICOR CIA. LTDA. ,Ecuador,Cuenca,Azuay,Ecuador,Administración / Oficina,2024-09-10T12:01:47,2024-09-20T00:00:00,,Adaptación al cambio. Comunicación y persuasión. Gestión del Tiempo. Trabajo en equipo,,Buscamos un Gestora de Facturación y Cobranza experimentado para unirse a nuestro equipo. La candidata ideal será proactiva. responsable y estará orientada al cumplimiento de objetivos. Deberá tener capacidad para tratar con clientes y realizar gestiones de recuperación de cartera.		Responsabilidades	- Gestionar la facturación y la cobranza de las cuentas de los clientes.	- Realizar seguimiento y gestión de cobro a clientes.	- Trabajar de la mano con el equipo de ventas.	- Preparar informes sobre el estado de las cuentas de los clientes.	- Trabajar con otros departamentos para garantizar la precisión de la gestion tanto en facturación como en cobranza.		Requisitos	- Disponibilidad inmediata	- Estudios en Administración de Empresas o carrera a fin.	- 3+ años de experiencia en gestión de facturación y cobranza en empresas de consumo masivo.	- Orientado al cumplimiento de objetivos y presupuestos.	- Habilidades analíticas y de resolución de problemas.	- Manejo básico de herramientas informáticas.	- Residir en Cuenca,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Gestor de Facturación y Cobranza,Experiencia en consumo masivo,Administración / Oficina,40,25,Universidad,1,Presencial,False,False,False,4.0
