id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
D205FFFF046C755D61373E686DCF3405,False,False,Cooperativa JEP,Ecuador,Pasaje,El Oro,Ecuador,Administración / Oficina,2024-09-11T04:24:06,2024-09-11T04:24:06,,,,Misión del cargo:	Realizar la recepción y entrega de documentación interna y externa además de apoyar en procesos administrativos.		Actividades del Cargo:	Realizar los trámites que le sean solicitados.	Realizar tareas de apoyo administrativo y servicios generales.	Receptar y entregar documentos entre las agencias y/o lugares solicitados.		Requisitos:	Poseer licencia de Moto (A) vigente ( Indispensable) 	Disponibilidad de horarios	Beneficios	La institución ofrece salario competitivo. crecimiento profesional y personal.,Tiempo Completo,Contrato por tiempo indefinido,550.00 US$ (Mensual),550,Mensajero,Pasaje,Administración / Oficina,,,Bachillerato / Educación Media,1,Presencial,True,False,False,4.5
CE34620D416CC2D661373E686DCF3405,False,True,MAXIAUTO S.A,Ecuador,Machala,El Oro,Ecuador,Ventas,2024-09-09T14:35:12,2024-09-09T14:35:12,3,Gestión de ventas. Ventas,,1.	Realizar la venta del presupuesto. asignado a su cargo.	2.	Cumplir mensualmente presupuestos.	3.	Evaluar y proponer periódicamente a sus clientes. la venta de nuevos productos.	4.	Mantener permanentemente actualizada la información de cada uno de sus clientes.	5.	Asesorar técnicamente a cada uno de los clientes en el uso de los productos comercializados.	6.	Realizar el cubrimiento total de los clientes potenciales en la zona y el canal asignados.	7.	Ejecutar las gestiones adecuadas para el manejo eficiente y efectivo de la cartera y recaudo a su cargo.	,Tiempo Completo,Otro tipo de contrato,475.00 US$ (Mensual),475,Vendedor,,Ventas,47,23,Bachillerato / Educación Media,1,Presencial,False,False,False,4.0
135C59D4F7A091C761373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Compras / Comercio Exterior,2024-09-09T13:09:57,2024-09-09T13:09:57,2,Tecnología de la información. Lean. Agile. Logística,Inglés ,At BairesDev®. we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. 		Our diverse 4.000+ team. composed of the world's Top 1% of tech talent. works remotely on roles that drive significant impact worldwide.		When you apply for this position. you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies. setting you on a path to exceptional career development and success.		Supply Chain Analyst at BairesDev		We are looking for a Supply Chain Analyst to join our team to make a correct and timely analysis of the management of the company's assets in stock. This is an excellent opportunity to be one of the critical members of our Engineering team and position yourself for unique career growth opportunities.		What You Will Do:		- Determine supply needs for products and services and research potential suppliers.	- Act as a link and communicate pricing and performance needs to vendors and suppliers.	- Participate in negotiating favorable procurement contracts and prices with selected vendors and suppliers.	- Select the most suitable suppliers regarding reliability. product quality. and cost-efficiency.	- Maintain and update a list of suppliers and their qualifications. delivery times. and potential future development.	- Prepare cost-benefit analysis reports for review by managers.	- Work with team members and procurement manager to complete duties as needed.		Here’s what we are looking for:		- Knowledge of SAP or SAP B1.	- Supply chain management. logistics. business management. or related fields.	- +2 years experience in a supply management role or related position	- Experience in managing inventory. 	- Previous experience with SAP.	- SQL analysis tools and mathematical analysis.	- Interpersonal skills and ability to build and improve trust.	- Advanced English level.		How we do make your work (and your life) easier:		- 100% remote work (from anywhere).	- Excellent compensation in USD or your local currency if preferred	- Hardware and software setup for you to work from home.	- Flexible hours: create your own schedule.	- Paid parental leaves. vacations. and national holidays.	- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.	- Supportive environment with mentorship. promotions. skill development. and diverse growth opportunities.		Apply now and become part of a global team where your unique talents can truly thrive!,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Work From Home Supply Chain Analyst,Ref. 0876E,Compras / Comercio Exterior,,,Universidad,10,Remoto,True,False,True,
D7D9248AB02F5DF361373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:09:26,2024-09-09T13:09:26,5,Tecnología de la información. SWIFT. Objective-C. Lean. Agile,Inglés ,En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google. Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente. contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. 		Al postularte a esta vacante. estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades. intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.		iOS Developer en BairesDev		Ser un Desarrollador Senior iOS en nuestro equipo de Desarrollo es como ser un solucionador de problemas a tiempo completo. Esperamos que tus habilidades sean una combinación de experiencia. conocimientos e independencia. Innovación también está en el corazón de la estrategia en BairesDev. Así que. si estás dispuesto a asumir las tareas más complejas y ser un maestro en tu pila de tecnología. para iOS. entonces tu eres probablemente uno de esos únicos que estamos buscando.		¿Qué harás?		- Crear excelentes aplicaciones móviles que se integren con servicios en la nube.	- Participar en el ciclo de vida completa del desarrollo de producto. desde la ideación hasta la entrega y el soporte.	- Trabajar dentro de un equipo de rápido movimiento para desarrollar diseños nítidos. crear un gran código y llevar productos al mercado rápidamente.	- Liderar el desarrollo e implementación de nuevas mejoras claves.	- Ayudarnos continuamente a evolucionar nuestros procesos y diseños para generar una ventaja competitiva. 	- Crear maquetas y prototipos para expresar ideas y recopilar feedback.	- Compartir tus pensamientos e ideas de manera libre y constructiva. pero también escuchar bien a los demás. 	- Crear las mejores aplicaciones móviles para dispositivos iOS y relojes inteligentes.		¿Qué Buscamos?:		- 6+ años de experiencia trabajando como desarrollador.	- 5+ años de experiencia en desarrollo iOS.	- Experiencia con bases de datos SQL y NoSQL. 	- Experiencia con Microservicios y la Nube.	- Conocimiento avanzado en algoritmos.	- Conocimiento en infraestructura de TI.	- Gestión de metodología ágil intermedia.	- Sólida comprensión de las mejores prácticas. principios SÓLIDOS. código LIMPIO y soluciones escalables.	- Conocimiento en diseño de patrones.	- Experiencia desarrollando aplicaciones completas desde cero.	- Experiencia en pruebas automatizadas. procesos CI/CD.	- Experiencia sólida en control de versiones.	- Experiencia comprobada en pruebas unitarias. pruebas integrales y cobertura de código.	- Nivel Avanzado de Inglés.		¿Qué Ofrecemos?:		Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:		- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.	- Compensación en USD o en tu moneda local. como prefieras. muy por encima de la media del mercado.	- Hardware y software.	- Horarios flexibles	- Licencias por mater/paternidad. vacaciones y días festivos nacionales pagos.	- Ambiente laboral multicultural e innovador. perfecto para hacer amigos. colaborar y aprender de las personas más talentosas del mundo.	- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.		¡Únete a nuestro equipo global!																						,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Trabajo Desde Casa iOS Developer,Ref. 0047S,Informática / Telecomunicaciones,,,Universidad,10,Remoto,True,False,True,
BF1278F2BE33C70261373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:09:03,2024-09-09T13:09:03,3,Gestión de ventas. Negociación. Tecnología de la información. Ventas. Lean. Agile,Inglés ,En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google. Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente. contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. 		Al postularte a esta vacante. estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades. intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.		Analista de Gestión Empresarial en BairesDev		Buscamos Analista de Gestión Empresarial para sumarse al equipo de Desarrollo y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. Buscamos personas proactivas. dinámicas y team players. con gran capacidad de organización. acostumbradas a manejar múltiples tareas y con marcada atención al detalle. Se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria! 		Estos desarrolladores enfrentarán numerosos desafíos técnicos. por lo cual deberán utilizar tecnologías actuales. involucrarse en el mundo mobile. de aplicaciones web. dispositivos. etc.		Principales responsabilidades:		- Evaluar los procesos empresariales. anticiparse a los requisitos. descubrir áreas de mejora y desarrollar e implantar soluciones.	- Dirigir revisiones continuas de los procesos empresariales y desarrollar estrategias de optimización.	- Estar al día de los últimos avances en procesos y TI para automatizar y modernizar los sistemas.	- Realizar análisis de requisitos.	- Garantizar que las soluciones satisfacen las necesidades y los requisitos de la empresa.	- Realizar pruebas de aceptación de usuarios.		¿Qué Buscamos?:		- 3+ años de experiencia como analista de negocio o similar.	- Excelentes habilidades analíticas y de investigación.	- Conocimiento profundo de las técnicas de modelado de datos.	- Excelentes habilidades interpersonales. de comunicación. de escucha y de presentación.	- Nivel avanzado de inglés.		Qué ofrecemos para que tu trabajo (y tu vida) seja mais fácil:		- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.	- Compensación en USD o en tu moneda local. como prefieras. muy por encima de la media del mercado.	- Hardware y software.	- Horarios flexibles	- Licencias por mater/paternidad. vacaciones y días festivos nacionales pagos.	- Ambiente laboral multicultural e innovador. perfecto para hacer amigos. colaborar y aprender de las personas más talentosas del mundo.	- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.		¡Únete a nuestro equipo global!,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Trabajo Desde Casa Analista de Gestión Empresarial,Ref. 0031S,Informática / Telecomunicaciones,,,Universidad,3,Remoto,True,False,True,
6106D9B9743124BD61373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:07:19,2024-09-09T13:07:19,4,Linux. UNIX. Tecnología de la información. Testeo. Lean. Agile. Test-driven development (TDD),Inglés ,BairesDev está orgullosa de ser la compañía de más rápido crecimiento en América. Con personal en cinco continentes y clientes de talla mundial. somos tan fuertes como los equipos multiculturales en el corazón de nuestra empresa lo sean. Con el fin de entregar a nuestros clientes soluciones de la más alta calidad con consistencia. únicamente contratamos al 1% más destacado entre los mejores talentos y nutrimos su desarrollo profesional con proyectos desafiantes.		Tester de Software (QA) / I + D en BairesDev		Buscamos probadores de software (QA) destacados para unirse al equipo de Investigación y Desarrollo (I+D) de BairesDev.	Nuestro equipo de I + D es una parte esencial de nuestras soluciones tecnológicas que impulsan millones en ingresos anualmente. por lo que solo contratamos lo mejor de lo mejor.	Dentro del equipo encontrarás muchos retos diferentes: Análisis de datos. Machine Learning. Desktop y desarrollos web son algunos de los más relevantes ahora mismo. pero para impulsar la innovación. ¡notarás que cada día surgen cosas nuevas!	El área de I+D es sin duda el área más apasionante y desafiante de toda la compañía. y aunque BairesDev está conformada por gente realmente talentosa en general. aquí encontrarás profesionales con amplia experiencia y también niveles intelectuales y creativos. muy por encima de la media.	Queremos que la gente disfrute del viaje. ¿Estás preparado?		Actividades Principales:		- Analizar los requisitos del usuario final para definir y documentar los planes de prueba.	- Ejecutar casos de prueba. depurar. detectar errores y/o posibles mejoras. documentarlos y hacer un seguimiento para su resolución.	- Generar informes de resultados de pruebas y errores detectados.	- Definir las prioridades y planificar las pruebas de los requisitos del sistema.	- Documentar las funcionalidades de los sistemas.	- Representar al usuario final ante los desarrolladores para garantizar que se cumplen los requisitos.	- Detectar y proponer mejoras tanto en el proceso de control de calidad como en el ciclo de desarrollo de software.		¿Qué Buscamos?:		- 4+ años de experiencia en pruebas de Productos Web.	- Sólidos conocimientos de herramientas de testing.	- Desarrollo de planes de prueba: creación de casos de prueba y depuración.	- Conocimientos adicionales en tecnologías Web.	- Amplios conocimientos de entornos Unix y Linux.	- Nivel avanzado de inglés.		¿Qué Ofrecemos?:		- Trabajo 100% remoto.	- Equipo de hardware para trabajar desde casa.	- Horarios flexibles: crea tu propio horario.	- Licencia parental. vacaciones y feriados remunerados.	- Ambiente laboral diverso y multicultural.	- Ambiente innovador. con la estructura y recursos de una importante multinacional.	- Excelente remuneración. bastante por encima del promedio en el mercado.	- Aquí puedes crecer al ritmo de tu curva de aprendizaje.		Nuestros empleados trabajan remotamente. pero lo hacen dentro de una cultura confiable y sólida que promueve diversidad y trabajo en equipo. Para continuar siendo la compañía de desarrollo de software líder en Latinoamérica. queremos asegurarnos de que cada miembro de BairesDev consiga las mejores oportunidades de crecimiento y desarrollo profesional en un ambiente diverso. acogedor e innovador.		Todo miembro del equipo de BairesDev aporta algo único a nuestra compañía.		Queremos escuchar tu historia. ¡Aplica ahora!,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Trabajo Desde Casa Tester de Software (QA) / I + D,Ref. 0027S (RD),Informática / Telecomunicaciones,,,Universidad,10,Remoto,True,False,True,
7FB08E7053B3DB2661373E686DCF3405,False,False,ECUASUEÑA S.A ,Ecuador,Machala,El Oro,Ecuador,Atención a clientes,2024-09-09T04:04:10,2024-09-09T04:04:10,1,,,Ejecutivo de Crédito Vehicular		Buscamos un Ejecutivo de Crédito Vehicular para unirse a nuestro equipo. El candidato ideal tendrá excelentes habilidades de comunicación y ventas. así como conocimientos del mercado automotriz.		Responsabilidades		Identificar y desarrollar nuevas oportunidades de negocio.	Mantener relaciones sólidas con nuestros clientes existentes.	Asesorar a los clientes sobre las mejores opciones de financiamiento.	Procesar solicitudes de crédito y gestionar aprobaciones.	Realizar seguimiento a los clientes para garantizar el pago puntual de las cuotas.		Requisitos		Experiencia en ventas o crédito automotriz.	Excelentes habilidades de comunicación y ventas.	Sólidos conocimientos del mercado automotriz.	Capacidad para trabajar de forma independiente y como parte de un equipo.	Excelentes habilidades de organización y gestión del tiempo.		Éxitos en tu entrevista.,Tiempo Completo,Otro tipo de contrato,A convenir,0,Ejecutivo ventas,(Machala),Atención a clientes,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
E2F0F9A08BFD2F6161373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:08:09,2024-09-09T13:08:09,2,PostgreSQL. CSS. HTML. Java. JavaScript. Tecnología de la información. AngularJS. Lean. Agile,Inglés ,At BairesDev®. we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. 		Our diverse 4.000+ team. composed of the world's Top 1% of tech talent. works remotely on roles that drive significant impact worldwide.		When you apply for this position. you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies. setting you on a path to exceptional career development and success.		Junior Angular Developer / R+D at BairesDev		We are looking for outstanding Junior Angular Developers to join BairesDev's Research & Development (R&D) team. 		Our R&D team is an essential part of our technology solutions that drive millions in revenue each year. so we only hire the best of the best. Within the team. you'll find many different challenges: Data analytics. machine learning. desktop. and web development are some of the most relevant right now. but to drive innovation. you'll find new things coming up every day!		R&D is undoubtedly the most interesting and challenging area of the entire company. and while BairesDev is generally made up of really talented people. here you will find professionals with extensive experience and also intellectual and creative levels well above average.		We want people to enjoy the ride. Are you ready?		What You Will Do:		- Design. code. test. and debug application programs of varying complexity.	- Code user interfaces using the latest front-end technologies.	- Work with business users to develop and implement acceptance tests to ensure that the product meets customer requirements and expectations.	- Ensure the high performance of all developed systems.		Here’s what we are looking for:		- 2+ years of experience as a developer.	- 2+ years of experience with Angular 2+.	- Previous application development experience with the Angular/Java technology stack.	- Solid experience with HTML. CSS. and writing cross-browser-compatible code.	- Thorough understanding of AJAX and JavaScript Dom manipulation techniques.	- Knowledge of MSSQL and/or PostgresSQL.	- React experience is a plus.	- Advanced level of English.		How we do make your work (and your life) easier:		How we make your work (and your life) easier:		- 100% remote work (from anywhere).	- Excellent compensation in USD or your local currency if preferred	- Hardware and software setup for you to work from home.	- Flexible hours: create your own schedule.	- Paid parental leaves. vacations. and national holidays.	- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.	- Supportive environment with mentorship. promotions. skill development. and diverse growth opportunities.		Apply now and become part of a global team where your unique talents can truly thrive!																						,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Work From Home Junior Angular Developer / R+D,Ref. 0615E (RD),Informática / Telecomunicaciones,,,Universidad,10,Remoto,True,False,True,
F9C01B32D50E30A861373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:07:45,2024-09-09T13:07:45,5,Tecnología de la información. Lean. Agile,Inglés ,En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google. Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente. contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. 		Al postularte a esta vacante. estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades. intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.		Ingeniero de Plataforma de Datos en BairesDev		Estamos buscando un excelente Ingeniero de Plataforma de Datos para unirse al Equipo de Investigación y Desarrollo (I+D) de BairesDev. Este profesional será responsable de la construcción de la plataforma de datos para simplificar y acelerar las tareas cotidianas para el manejo del mundo de los datos. como la ingestión. almacenamiento. procesamiento. catálogo. calidad y gobierno.		Actividades Principales:		- Construir soluciones de ingeniería utilizando las mejores prácticas de desarrollo de software y aplicaciones intensivas en datos.	- Trabajar estrechamente con ingenieros de infraestructura de datos. analítica e ingenieros de aprendizaje automático para recopilar requisitos para entregar componentes reutilizables.	- Supervisar y mantener la salud del ecosistema de la plataforma de datos.	- Aprovechar las herramientas de datos modernas para desarrollar soluciones sencillas a problemas complejos.	- Ayudar continuamente a mejorar las prácticas de ingeniería de software en todos los equipos de datos. subir el listón del equipo y tratar de ser una referencia en calidad y rendimiento.		¿Qué Buscamos?:		- 5+ de experiencia en desarrollo de software.	- 3+ trabajando en plataformas de datos o equipos de ingeniería de datos.	- Sólida experiencia en desarrollo Python. Scala o Java.	- Sólida experiencia trabajando con bases de datos relacionales y NoSQL.	- Experiencia con arquitectura de microservicios y API.	- Experiencia con Kafka o similar.	- Experiencia con computación distribuida.	- Experiencia desarrollando dags de Airflow.	- Nivel avanzado de inglés.		Deseable:	- Experiencia con Graph databases.	- Experiencia con aplicaciones de streaming.		¿Qué Ofrecemos?:		Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:		- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.	- Compensación en USD o en tu moneda local. como prefieras. muy por encima de la media del mercado.	- Hardware y software.	- Horarios flexibles	- Licencias por mater/paternidad. vacaciones y días festivos nacionales pagos.	- Ambiente laboral multicultural e innovador. perfecto para hacer amigos. colaborar y aprender de las personas más talentosas del mundo.	- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.		¡Únete a nuestro equipo global!																						,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Trabajo Desde Casa Ingeniero de Plataforma de Datos,Ref. 0339S (RD),Informática / Telecomunicaciones,,,Universidad,3,Remoto,True,False,True,
37FE2F94A7E0E84C61373E686DCF3405,False,False,BairesDev LLC,Argentina,Machala,El Oro,Ecuador,Informática / Telecomunicaciones,2024-09-09T13:08:35,2024-09-09T13:08:35,2,Tecnología de la información. Ventas. Lean. Agile,Inglés ,En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google. Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente. contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. 		Al postularte a esta vacante. estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades. intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.		Analista de Negocios en BairesDev		Buscamos Analista de Negocios para sumarse al equipo de Desarrollo y participar en distintos proyectos conformados por equipos multiculturales distribuidos en todo el mundo. Buscamos personas proactivas. dinámicas y team players. con gran capacidad de organización. acostumbradas a manejar múltiples tareas y con marcada atención al detalle. Se trata de una excelente oportunidad para aquellos profesionales que busquen desarrollarse en una de las empresas con mayor crecimiento de la industria! 		Estos desarrolladores enfrentarán numerosos desafíos técnicos. por lo cual deberán utilizar tecnologías actuales. involucrarse en el mundo mobile. de aplicaciones web. dispositivos. etc.		Principales responsabilidades:		- Ser el enlace entre los usuarios y los equipos de desarrollo técnico.	- Ser responsable de identificar las necesidades del negocio.	- Generarar la documentación funcional específica.	- Traducir los requisitos en requisitos para los equipos de desarrollo.		¿Qué Buscamos?:		- Experiencia extensa trabajando en requerimientos de productos informáticos.	- Muy buen manejo de la comunicación interpersonal y manejo de clientes.	- Muy buenas habilidades de trabajo en equipo multidisciplinarios.	- Nivel de inglés avanzado.		¿Qué Ofrecemos?:		Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:		- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.	- Compensación en USD o en tu moneda local. como prefieras. muy por encima de la media del mercado.	- Hardware y software.	- Horarios flexibles	- Licencias por mater/paternidad. vacaciones y días festivos nacionales pagos.	- Ambiente laboral multicultural e innovador. perfecto para hacer amigos. colaborar y aprender de las personas más talentosas del mundo.	- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.		¡Únete a nuestro equipo global!																						,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Trabajo Desde Casa Analista de Negocios,Ref. 0031S,Informática / Telecomunicaciones,,,Universidad,10,Remoto,True,False,True,
