id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
9C45B4D23107363C61373E686DCF3405,False,False,ALMESPANA CÍA. LTDA.,Ecuador,Guayaquil,Guayas,Ecuador,Diseño / Artes gráficas,2024-09-11T16:41:20,2024-09-25T00:00:00,1,,,Experiencia: Mínimo 1 años de experiencia comprobable en diseño gráfico.		Habilidades Técnicas: Adobe Illustrator y Adobe Photoshop. Experiencia demostrable en diseño. edición. marketing. y publicidad.		Habilidades Personales: Alta creatividad. excelente organización. habilidades de trabajo en equipo. y capacidad de cumplir con plazos ajustados.		Responsabilidades:		-Diseño de Marca: Desarrollar y mantener la identidad de marca. asegurando una imagen coherente y atractiva en todos los materiales impresos y digitales.		-Materiales de Marketing: Crear materiales de marketing efectivos. incluyendo folletos. anuncios. carteles. y material POP.		-Diseño de Productos: Diseñar etiquetas y empaques atractivos y funcionales para nuestros productos.		-Colaboración: Trabajar en estrecha colaboración con el equipo de marketing y ventas para garantizar que el diseño gráfico apoye nuestros objetivos de negocio.		-Gestión de Proyectos: Administrar proyectos de diseño desde la conceptualización hasta la finalización. cumpliendo con los plazos y presupuestos establecidos.,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Diseñador/a grafico,,Diseño / Artes gráficas,38,25,Universidad,1,Presencial,True,False,False,
5EFF61431754495861373E686DCF3405,False,True,Optiglass,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T16:22:27,2024-09-11T16:22:27,-1,,,Importante Laboratorio Oftalmológico de servicios Ópticos a nivel Nacional se encuentra en la búsqueda del siguiente cargo:		- Promotor de venta  - viajero		Principales responsabilidades:	- Promocionar los beneficios otorgados por las brigadas medicas	- Captar y asesorar a posibles pacientes 	- Gestión y cobro de inscripción 		Competencias:	- Adaptación a diversas situaciones	- Persuasión 	- Negociación efectiva 	- Fluidez verbal 	- Asesoramiento efectivo	- Trabajo en equipo		Indispensable contar con disponibilidad de tiempo para viajar por 15 días 		Beneficios:	•       Retribución: Comisiones + Viáticos cubiertos + Bonos diarios por sobre cumplimiento	•       Beneficios de la empresa: IESS + Uniforme + credencial + material de trabajo + beneficios propios de la empresa	•       Capacitación y retroalimentación,Tiempo Completo,Contrato de obra o labor,A convenir,0,Agente promotor de ventas,Viajero,Ventas,50,30,Bachillerato / Educación Media,3,Presencial,True,False,True,
210170B7301E089161373E686DCF3405,False,True,Optiglass,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T16:22:21,2024-09-11T16:22:21,-1,Adaptación al cambio. Aprendizaje. Hablar en público. Mejora del rendimiento. Negociación,Español ,Laboratorio Oftalmológico de servicios Ópticos a nivel Nacional se encuentra en la búsqueda del siguiente cargo:		- Gestor promotor óptico  - viajero		Responsabilidades:	- Representar la marca 	- Dar a conocer sus características entre el público objetivo. para alcanzar clientes nuevos. potenciales y los que se pueden fidelizar con el producto		Competencias:	- Adaptación a diversas situaciones	- Positivos 	- Sociables 	- Fluidez verbal 	- Trabajo en equipo		Indispensable contar con disponibilidad de tiempo para viajar por 15 días o más		Beneficios:	•       Retribución: Comisiones + Viáticos cubiertos + Bonos diarios	•       Beneficios de la empresa: IESS + uniforme + credencial + material de trabajo + beneficios propios de la empresa	•       Capacitación y retroalimentación,Tiempo Completo,Contrato de obra o labor,A convenir,0,Gestor promotor óptico,Viajero,Ventas,50,30,Bachillerato / Educación Media,6,Presencial,True,False,True,
AD3F3A5660034E5561373E686DCF3405,False,False,,Ecuador,Guayaquil,Guayas,Ecuador,Medicina / Salud,2024-09-11T16:22:12,2024-09-11T16:22:12,1,,,Laboratorio Óptico a nivel Nacional se encuentra en la búsqueda del siguiente cargo:		- Asesor comisionista - viajero		Responsabilidades:	- Representar la marca 	- Dar a conocer sus características entre el público objetivo. para alcanzar clientes nuevos. potenciales y los que se pueden fidelizar con el producto		Competencias:	- Positivos 	- Sociables 	- Fluidez verbal 	- Trabajo en equipo		Indispensable contar con disponibilidad de tiempo para viajar por 15 días o más		Beneficios:	•       Retribución: Comisiones + Viáticos diarios cubiertos + Bonos diarios	•       Beneficios de la empresa: IESS + uniforme + credencial + material de trabajo + beneficios propios de la empresa	•       Capacitación y retroalimentación,Tiempo Completo,Contrato de obra o labor,A convenir,0,Asesor comisionista,Viajero,Medicina / Salud,45,20,Bachillerato / Educación Media,5,Presencial,False,True,True,
3312293550A5AD3861373E686DCF3405,False,True,,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T16:22:05,2024-09-11T16:22:05,1,Adaptación al cambio. Trabajo en equipo. Ventas,,Somos una multinacional de salud visual. con la misión. de corregir las deficiencias visuales de toda la comunidad. garantizando su bienestar y cuidado. 		Cargo disponible: Asesor ventas - Viajero		Responsabilidades:	- Representar la marca 	- Captación de clientes nuevos. potenciales y los que se pueden fidelizar con el producto		Competencias:	- Adaptación a diversas situaciones	- Optimista	- Sociable	- Fluidez verbal 	- Trabajo en equipo		Indispensable contar con disponibilidad de tiempo para viajar entre 15 a 30 días por fuera de la provincia 		Beneficios:	•       Retribución: Comisiones + Viáticos cubiertos por la empresa + Bonos diarios	•       Beneficios de la empresa: IESS + uniforme + beneficios propios de la empresa	•       Capacitación y retroalimentación,Tiempo Completo,Contrato de obra o labor,A convenir,0,Asesor ventas,Viajero,Ventas,50,26,Bachillerato / Educación Media,4,Presencial,False,True,True,
2A0ECAD36420D00E61373E686DCF3405,False,False,MARKETPRO,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T15:59:41,2024-09-11T15:59:41,3,,,ENVIAR CAPTURA DEL AVISO Y H0JA DE VlDA AL WHATSAPP DEL LOGO. No abrimos hojas de vida en CT y tampoco contestamos si no envia lo pedido.		Busco chica menor a 25 años trabajadora. honesta y creativa		Carismática. don de gentes. excelente expresión		Experiencia en ventas en canales tradicionales y canales digitales		Conocimiento de manejo de canales digitales (faceobnok. tiktok. instagram. CAPCUT. CANVA)		EL PUESTO ES PARA UNA VENDEDORA. no abogado. no ingeniero. no enfermera. SOLO VENDEDORAS	------------------------	Su trabajo será ejecutar el proceso de VENTAS de productos y servicios a través de diversos canales tradicioales y digitales	Visitas en frio a clientes (ventas de campo)	PREFERIBLE CON CARTERA DE CLIENTES	Preferible conocer sector automotriz 	----------------------------------		Que viva en Quito o Guayaquil o Manta o Coca ,Tiempo Completo,Otro tipo de contrato,A convenir,0,Vendedora de campo con experiencia en ventas y marketing tradicional y digital,Aplicar solo vendedorAs con experiencia,Ventas,23,20,Educación Técnico/Profesional,1,Híbrido,False,False,False,
2DCBD52C8F9891FF61373E686DCF3405,False,False,JACRCELL SERVICIO DE TELECOMUNICACIONES S.A.,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T14:35:33,2024-09-11T14:35:33,,,,¡Únete a nuestro equipo como Asesor Telefónico en Ventas!	Estamos buscando Asesores Telefónicos para nuestro Call Center en el área de ventas. Si eres un bachiller recién graduado. estudiante universitario o simplemente alguien con ganas de comenzar una carrera en ventas. ¡esta es tu oportunidad!		Beneficios:	-Sueldo base más comisiones.	-Bono económico semanal y mensual.	-Oportunidades de desarrollo y crecimiento.		Requisitos:	- Educación mínima: Educación Básica Secundaria	- Edad minima 18 años	- Buena dicción y vocalización	- Agresividad Comercial	- Si te encuentras estudiando. preferible en horarios nocturnos	- Residir en la ciudad de Guayaquil	- Conocimientos: Microsoft Office. gestión de ventas y trabajo en equipo.,Tiempo Completo,Otro tipo de contrato,A convenir,0,Asesor ventas,Medio tiempo y/o Tiempo completo,Ventas,0,18,Bachillerato / Educación Media,100,Presencial,False,False,False,
DCB40FBA694492A861373E686DCF3405,False,False,BOHORQUEZ & PAUTA CORP-BOPACORP S.A.,Ecuador,Guayaquil,Guayas,Ecuador,Ventas,2024-09-11T13:22:55,2024-09-15T00:00:00,1,Microsoft Office,Inglés ,Propósito del cargo. Ejecutivo de cuentas Senior. cumplir las metas establecidas de productos corporativos de Telefónica. 	Funciones	•	Asesorar a los clientes sobre un manejo óptimo de los recursos.	•	Realizar la prospección de clientes y visitas en perímetro de cobertura asignado.	•	Realizar el seguimiento de clientes prospectados. elaboración de oferta e instalación del producto a través de plataforma crm.	•	Realizar el cierre de todo el proceso de venta.	•	Brindar servicio post venta a su cartera de clientes.	Requisitos	•	Título de Bachiller.	•	Experiencia de al menos 1 año en cargos similares.	•	Trabajo en equipo.	•	Conocimientos de ventas en campo. en especial del servicio a ofrecerse-paquetes de internet.	•	Apto para mujeres de 21 a 35 años de edad.	•	Manejo de utilitarios de office. 	Beneficios	•	Sueldo base	•	Bonificación/ Incentivos de Comisión	•	Uniforme (Blazer y pantalón)	•	Movilización incluida.	•	Beneficios de ley	•	Cartera de Clientes. 	•	Línea celular corporativa. 	En Telefónica Movistar cada día innovamos y brindamos soluciones de conectividad empresarial a nivel nacional. Somos Líder en Telecomunicaciones. conectamos a personas. comunidades y empresas gracias a nuestra variedad de servicios y productos.	,Tiempo Completo,Otro tipo de contrato,A convenir,0,Vendedor corporativo Senior y Ejecutivo de Cuentas,,Ventas,40,24,Bachillerato / Educación Media,2,Presencial,False,False,False,
59CACE4328601B5461373E686DCF3405,False,False,,Ecuador,Guayaquil,Guayas,Ecuador,Atención a clientes,2024-09-11T12:07:16,2024-09-20T00:00:00,,,Español ,Solicitamos vendedor Entusiasta. de preferencia con experiencia en ventas de artículos de primera necesidad.	Que se proyecte hacia el cliente fomentando la compra.	Que se adapte a horario completo y que no falte constantemente.	Que sea organizado.	Solo para la ciudad de Guayaquil y que viva en Guayaquil.	Salario: Báse a acordar + comisiones.		,Tiempo Completo,Otro tipo de contrato,A convenir,0,Vendedor,que viva en Guayaquil,Atención a clientes,40,21,Bachillerato / Educación Media,1,Presencial,False,True,False,
99FFD93C2708418061373E686DCF3405,False,True,TOYIMA S.A.,Ecuador,Guayaquil,Guayas,Ecuador,Mantenimiento y Reparaciones Técnicas,2024-09-11T12:07:16,2024-09-16T00:00:00,2,Electrónica,,AutoRenovA es una empresa que trabaja con dispositivos de alta tecnología que pueden ser instalados desde motos hasta camiones y trailers y tiene cobertura a  nivel nacional. 		Requisitos Mínimo para el puesto:	Experiencia previa en instalar equipos de rastreo satelital o alarmas de carros.	Excelente ética laboral.	Buena presentación.	Habilidad de entender nuevos procesos y tecnología rápidamente.	Habilidad de resolver problemas eficientemente.	Conocimiento de principios de electricidad.	Conocimientos básicos de mecánica vehicular.	Conocimiento del uso de computadoras.	Habilidad de seguir instrucciones detalladamente. 	Licencia de Conducir (Moto o Carro).	Disponibilidad de viajar fuera de Guayaquil cuando necesario (Transporte Público).	Puntualidad.		Beneficios:	Buen ambiente de trabajo.	Excelente producto de calidad.	Capacitación.	Respaldo Técnico en cualquier momento	Compensación competitiva basado en producción.	,Tiempo Completo,Contrato por tiempo indefinido,460.00 US$ (Mensual),460,Técnico Instalador de Rastreo Satelital,,Mantenimiento y Reparaciones Técnicas,0,18,Bachillerato / Educación Media,1,Presencial,False,False,True,
