id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
6BBF335BFC428AC761373E686DCF3405,False,False,REGISTRA CALIDAD	,Ecuador,Ibarra,Imbabura,Ecuador,Diseño / Artes gráficas,2024-09-09T11:27:25,2024-09-20T00:00:00,,Edición de vídeo. Aceptación de errores y fracasos. Aprendizaje. Autoconfianza. Capacidad de decisión. Edición. Gestión del Tiempo. Habilidad comercial. networking. Iniciativa. Marketing. Publicidad. Social Media. Soporte al cliente. Redacción,,¡Únete a un equipo en crecimiento! 		Buscamos un Asistente de Marketing Digital con ganas de aprender. que apoye en la creación de contenido y gestión de redes sociales. con proyección de crecimiento en un sector dinámico.		El Asistente de Marketing Digital será un apoyo clave en la ejecución de todas las actividades relacionadas con marketing digital. Sus principales funciones serán colaborar en la creación y gestión de contenido visual. participar en la implementación de estrategias para redes sociales. y apoyar en el análisis de métricas para optimizar campañas. Buscamos a estudiantes en los últimos semestres de marketing o recién graduados que deseen adquirir experiencia práctica. en un entorno flexible y con posibilidad de crecimiento profesional.		Responsabilidades principales:	- Desarrollar estrategias sencillas para redes sociales (TikTok. LinkedIn. Meta. X)	- Editar imágenes y videos cortos utilizando Canva	- Gestionar publicaciones y la interacción con la comunidad online	- Colaborar en campañas de email marketing y análisis de resultados	- Participar en el seguimiento de métricas para optimizar las estrategias	- Apoyar en la creación de informes sobre el rendimiento de las campañas		Requisitos:	- Estudios de marketing en curso (últimos semestres) o recién graduado	- Dominio de Canva para la edición de imágenes y videos cortos	- Conocimiento de gestión de redes sociales (TikTok. LinkedIn. Meta y X)	- Experiencia en email marketing	- Conocimiento básico de plataformas de trabajo compartido como OneDrive o Google Drive	- Residir en Ibarra y tener disponibilidad para reuniones presenciales		Características:	- Iniciativa para proponer ideas y buscar soluciones	- Alto sentido de responsabilidad y compromiso con las tareas asignadas	- Creatividad para desarrollar contenido visual atractivo	- Comunicación efectiva. tanto verbal como escrita	- Desenvuelto y autónomo. capaz de trabajar sin supervisión constante	- Perfil comercial. con interés en conectar con personas y hablar de ventas	- Buen manejo del tiempo y capacidad para organizar tareas	- Ganas de aprender y mejorar en el ámbito del marketing digital	- Empatía para conectar con la audiencia a través del contenido	- Excelente ortografía y habilidades de comunicación		Beneficios:	- Capacitación continua en estrategias de marketing digital. herramientas y nuevas técnicas	- Oportunidad de trabajar en un sector exclusivo vinculado a la regulación sanitaria y salud pública. con proyección internacional	- Horario de trabajo flexible. ideal para compaginar con estudios	- Posibilidad de crecimiento profesional en una empresa en expansión	- Entorno de aprendizaje en una organización enfocada en la calidad. la integridad y el amor por el conocimiento		Modalidad: Freelance	Horario: Máximo 4 horas diarias. 5 días a la semana	Ubicación: Remoto. con reuniones presenciales en Ibarra cada semana.	Contrato: Freelance	Compensación: El salario será a acordar según las horas trabajadas y la experiencia del candidato,Por Horas,Otro tipo de contrato,A convenir,0,Asistente de marketing,Freelance,Diseño / Artes gráficas,25,21,Universidad,1,Híbrido,False,False,False,
A7C51F602BC00D9961373E686DCF3405,False,True,NEXON DIGITAL TECH,Ecuador,Ibarra,Imbabura,Ecuador,Mercadotecnia / Publicidad / Comunicación,2024-09-06T09:24:59,2024-09-08T00:00:00,2,Adobe Ilustrator. Adobe Photoshop. CRM. Creatividad. Gestión de proyectos. Marketing. Administración de archivos,Español ,Funciones del Puesto: El Community Manager y Estratega Digital será responsable de la gestión integral de las redes sociales. incluyendo la creación y programación de contenido. la interacción con la comunidad y el monitoreo de la reputación online. Además. desarrollará y ejecutará estrategias digitales alineadas con los objetivos de la marca. optimizando el crecimiento y la participación de la audiencia. Este perfil también será el encargado de planificar. configurar y gestionar campañas publicitarias en Meta (Facebook e Instagram Ads). supervisando el rendimiento de las mismas. ajustando presupuestos y segmentaciones. y generando reportes para asegurar el máximo retorno de inversión (ROI).		Se requiere una persona proactiva. con habilidades analíticas y creativas. capaz de proponer nuevas estrategias basadas en datos. optimizar las campañas y contribuir al crecimiento de la presencia digital de la marca.,Tiempo Completo,Contrato de obra o labor,550.00 US$ (Mensual),550,Estratega Digital y Community Manager,con Expertise en Meta Ads,Mercadotecnia / Publicidad / Comunicación,40,26,Universidad,1,Híbrido,False,False,False,
495B3270D0E2225561373E686DCF3405,False,False,ISELL & CS CORP S.A.S.,Ecuador,Ibarra,Imbabura,Ecuador,Contabilidad / Finanzas,2024-09-06T04:14:18,2024-09-06T04:14:18,2,Contabilidad. Administración de archivos. Administración de sistemas,,Experiencia mínima un año comprobable	Contabilidad nivel medio	Conciliación bancarias	Análisis financiero	NIIFS	Registro de asientos contables	Ajustes	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar contabilIdad,con experiencia,Contabilidad / Finanzas,,,Universidad,3,Presencial,False,False,False,
3A348F5088AAEC5E61373E686DCF3405,False,False,ECUASUEÑA S.A ,Ecuador,Ibarra,Imbabura,Ecuador,Ventas,2024-09-05T04:34:10,2024-09-05T04:34:10,,,, ¡Únete a nuestro equipo como ejecutivo comercial en crédito vehicular! 		¿Te apasionan las ventas y el mundo automotriz? ¡Esta es tu oportunidad! Estamos en búsqueda de Ejecutivos Comerciales con experiencia en crédito vehicular o ventas de crédito automotriz. Si eres una persona dinámica. con habilidades de negociación y orientación al cliente. ¡te estamos esperando! ¿Qué ofrecemos? Un ambiente de trabajo en constante crecimiento.	 Oportunidades de desarrollo profesional.	 Atractivas comisiones por cumplimiento de metas.		Requisitos: .			Experiencia previa en ventas de crédito vehicular o automotriz.		Habilidad para establecer relaciones comerciales sólidas.		Foco en el cumplimiento de objetivos y metas.		 Postúlate ahora y acelera tu carrera con nosotros! ,Tiempo Completo,Otro tipo de contrato,A convenir,0,Ejecutivo ventas,Comercial,Ventas,,,Bachillerato / Educación Media,1,Presencial,True,False,False,
4FFFEF1AFEC4D78061373E686DCF3405,False,True,TAME AIRLINES ,Ecuador,Otavalo,Imbabura,Ecuador,Almacén / Logística / Transporte,2024-09-04T17:16:35,2024-09-23T00:00:00,-1,Capacidad de decisión. Creación de equipos. Hablar en público. Servicio al cliente. Primeros auxilios,Inglés ,persona responsable de garantizar la seguridad de los usuarios dentro de las instalaciones del aeropuerto. Se encarga también de la supervisión. control y vigilancia de las terminales. la plataforma de aeronaves y los accesos al aeropuerto.Monitorean la seguridad de la cabina de vuelo. Proveen servicios a los pasajeros de las líneas aéreas durante el vuelo. explican la información de seguridad. sirven comidas y bebidas. y responden a incidentes de emergencia.Recibir a los pasajeros. darles la bienvenida y acomodarlos en sus asientos. Atender los requerimientos de los pasajeros y proporcionarles bebida y comida. asegurándose de que tienen un viaje agradable y cómodo. Informar a los viajeros de las normas del vuelo. y los procedimientos de evacuación y salidas de emergencia. ,Medio Tiempo,Contrato por tiempo determinado,A convenir,0,Agente de seguridad. Auxiliar de vuelo.  azafata,Medio tiempo. inglés basico. buena presentación,Almacén / Logística / Transporte,36,22,Bachillerato / Educación Media,3,Presencial,False,False,True,
16D2BFE482F81A8A61373E686DCF3405,False,False, DIAZ VALENCIA SEGUNDO RAFAEL,Ecuador,Ibarra,Imbabura,Ecuador,Hostelería / Turismo,2024-09-03T15:24:53,2024-09-03T15:24:53,2,Adaptación al cambio. Contabilidad. Gestión de ventas,,Recepción de huéspedes. facturación.  elaboración  de informes. revisión de ventas . atencion al cliente en area de restaurante. arreglo y limpieza  de areas comunes. seguridad del área. Resolución inmediata de problemas.,Tiempo Completo,Otro tipo de contrato,400.00 US$ (Mensual),400,Recepcionista nocturno,Turno en la noche co,Hostelería / Turismo,40,20,Educación Técnico/Profesional,1,Presencial,False,False,False,
D0362B4592CDCEE661373E686DCF3405,False,False,ISELL & CS CORP S.A.S.,Ecuador,Ibarra,Imbabura,Ecuador,Contabilidad / Finanzas,2024-08-28T11:28:48,2024-08-30T00:00:00,2,Microsoft Excel. Administración de archivos. Administración de sistemas,Español ,Experiencia comprobable	Manejo estados financieros	Manejo de cuentas contables	Tributación	Declaraciones SRI	Retenciones .facturación. notas de crédito anulaciones 	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Auxiliar contable,con experiencia,Contabilidad / Finanzas,,,Universidad,2,Presencial,False,False,False,
3A68E0CCDF5B041861373E686DCF3405,False,True,CINTAS TEXTILES S.A.,Ecuador,Ibarra,Imbabura,Ecuador,Ventas,2024-08-21T16:49:09,2024-09-02T00:00:00,3,Microsoft Excel. Atención al cliente. Autoconfianza. Comunicación y persuasión. Gestión de ventas. Orientación al logro. Planificación. Resolución de problemas. Asesoría comercial,,PRINCIPALES FUNCIONES:		Cumplir con el Presupuesto asignado a su zona.	Desarrollar el conocimiento de los productos que vende. mediante las capacitaciones que la empresa imparte.	Contactar y visitar constantemente de acuerdo al plan de visita a los clientes (activos y potenciales).	Mantener y mejorar la participación en el mercado.	Evaluar constantemente la competencia y nuevos productos en el mercado.	Ingresar pedidos en sistema.	Diligenciar los formularios y procedimientos para registrar las operaciones de venta y crédito.	Velar y seguimiento por la correcta y oportuna entrega del producto. en cuanto a la calidad. requerimientos y tiempos.	Elaborar plan de visitas diario y semanal.	Dar seguimiento a las ventas y post venta.	Cuidar el comportamiento de pago de su cartera de clientes vigentes.	,Tiempo Completo,Otro tipo de contrato,1.000.00 US$ (Mensual),1000,Asesor Comercial,Imbabura Esmeraldas,Ventas,50,28,Educación Técnico/Profesional,1,Presencial,False,False,True,
4EDF31FF8489399161373E686DCF3405,False,True,IMBAPLAGAS,Ecuador,Ibarra,Imbabura,Ecuador,Atención a clientes,2024-08-19T14:40:18,2024-08-25T00:00:00,2,,,Formación:	Carrera de Negocios. Contable. Comercial. Marketing y/o afines.	 	Requisitos:		Experiencia en ventas (excluyente).	Mayor de 28 años.	Disponibilidad de tiempo completo.	Buen manejo de microsoft Office.	Conocimiento en manejo de objeciones y cierre de ventas.	Facilidad de palabra. proactivo y responsable.	Movilizacion propia. no indispensable.		Actividades:	Planificar. gestionar los planes de asignación y cumplimiento de objetivos.	Soporte a gerencia comercial (emails. agendar citas. redacción de documentos) 	Prospección y seguimiento de clientes. visitas y cotizaciones.	.	Beneficios:	Oportunidad de crecimiento laboral	Capacitacion constante.		SUELDO BÁSICO,Tiempo Completo,Otro tipo de contrato,460.00 US$ (Mensual),460,Agente comercial,Turno dia. tiempo completo,Atención a clientes,40,28,Educación Técnico/Profesional,1,Presencial,False,False,False,
354EC77AB4E6E46461373E686DCF3405,False,False,ENRIQUEZ GOVEO JACQUELINE VANESSA,Ecuador,Otavalo,Imbabura,Ecuador,Otros,2024-08-12T21:26:14,2024-09-02T00:00:00,,,,Busco cosmetologa para trabajar en Otavalo. con disponibilidad de tiempo. que sea puntual. responsable. ordenada. que tenga buena presencial y realmente necesite el trabajo 	El pago es un fijo + un porcentaje ,Por Horas,Contrato de obra o labor,400.00 US$ (Mensual),400,Cosmetologa,Cosmiatra,Otros,35,20,Educación Técnico/Profesional,2,Presencial,False,False,False,
