id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
68800E6E4BE7152061373E686DCF3405,False,False,MARKETPRO,Ecuador,Manta,Manabí,Ecuador,Ventas,2024-09-11T15:59:41,2024-09-11T15:59:41,3,,,ENVIAR CAPTURA DEL AVISO Y H0JA DE VlDA AL WHATSAPP DEL LOGO. No abrimos hojas de vida en CT y tampoco contestamos si no envia lo pedido.		Busco chica menor a 25 años trabajadora. honesta y creativa		Carismática. don de gentes. excelente expresión		Experiencia en ventas en canales tradicionales y canales digitales		Conocimiento de manejo de canales digitales (faceobnok. tiktok. instagram. CAPCUT. CANVA)		EL PUESTO ES PARA UNA VENDEDORA. no abogado. no ingeniero. no enfermera. SOLO VENDEDORAS	------------------------	Su trabajo será ejecutar el proceso de VENTAS de productos y servicios a través de diversos canales tradicioales y digitales	Visitas en frio a clientes (ventas de campo)	PREFERIBLE CON CARTERA DE CLIENTES	Preferible conocer sector automotriz 	----------------------------------		Que viva en Quito o Guayaquil o Manta o Coca ,Tiempo Completo,Otro tipo de contrato,395.00 US$ (Mensual),395,Vendedora de campo con experiencia en ventas y marketing tradicional y digital,Aplicar solo vendedorAs con experiencia,Ventas,23,0,Educación Técnico/Profesional,1,Híbrido,False,False,False,
7630E4BC881B883561373E686DCF3405,False,False,ALMESPANA CÍA. LTDA.,Ecuador,Jipijapa,Manabí,Ecuador,Atención a clientes,2024-09-11T04:24:11,2024-09-11T04:24:11,1,,,Actividades:	-Realizar los movimientos de ingreso y egreso de caja. cierre y cuadre diario.	- Realizar depósitos	- Intercambiar efectivo	- Cobrar y formalizar la venta verificando documentos de respaldo necesarios para los diferentes tipos de venta.	- Facturación de producto		Requisitos:	-Disponibilidad inmediata	- Manejo de Excel	- Manejo de computadora		Competencias:	- Excelente comunicación	- Excelente actitud de servicio	- Orientación a resultados		Tipo de Contrato: 	-Contrato por tiempo indefinido		Educación Mínima: Bachillerato / Educación Media		Años de Experiencia: 1 año		Jornada Laboral: Tiempo Completo		Disponibilidad para viajar: No	Disponibilidad para Cambio de Residencia: No,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Cajera Facturadora,Que Resida en Jipijapa,Atención a clientes,35,25,Bachillerato / Educación Media,1,Presencial,True,False,False,
5EA67D9A965D4E2961373E686DCF3405,False,False,ALMESPANA CÍA. LTDA.,Ecuador,Portoviejo,Manabí,Ecuador,Ventas,2024-09-11T04:04:11,2024-09-11T04:04:11,1,,,-Requerimientos 	Educación mínima: Bachillerato	Más de 1 año de experiencia	Vendedores con experiencia	Dinámicos. proactivos y con facilidad de palabra		Beneficios	Sueldo de ley + comisiones,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Vendedor que resida en Portoviejo,,Ventas,45,20,Bachillerato / Educación Media,3,Presencial,True,False,False,
8E0F144CF90E8B2761373E686DCF3405,False,False,FINANMOTORS S.A.,Ecuador,Portoviejo,Manabí,Ecuador,Ventas,2024-09-11T04:04:09,2024-11-30T00:00:00,,Ventas,,Estamos buscando Asesores Comerciales y Vendedores de Planes de Ahorro Programado		¿Te apasionan las ventas y el contacto directo con los clientes? ¿Tienes experiencia en el área comercial y buscas nuevas oportunidades para crecer profesionalmente? ¡Entonces. esta oportunidad es para ti!		Ofrecemos:		Atractivas comisiones sin límite	Capacitaciones constantes y desarrollo profesional	Excelente ambiente laboral	Oportunidad de crecimiento dentro de la empresa		Requisitos:		Experiencia previa en ventas o asesoría comercial (preferiblemente en servicios intangibles)	Habilidades de comunicación y negociación	Orientación a resultados y proactividad	Capacidad para trabajar de manera independiente	Ganas de aprender y crecer en el área de ventas	Responsabilidades:		Asesorar a clientes potenciales sobre los beneficios de nuestros planes de ahorro programado	Generar y mantener relaciones a largo plazo con los clientes	Alcanzar y superar los objetivos de ventas establecidos	Reportar el progreso de ventas y clientes a la dirección comercial,Tiempo Completo,Otro tipo de contrato,460.00 US$ (Mensual),460,Asesores de Ventas,Planes de Ahorro Programado,Ventas,,,Bachillerato / Educación Media,15,Presencial,True,False,True,
3F3178D0C806D28A61373E686DCF3405,False,True,FINCA GENESIS ,Ecuador,Portoviejo,Manabí,Ecuador,Ventas,2024-09-10T12:14:29,2024-09-10T12:14:29,1,,,Ventas de productos intangible	Conseguir prospectos para ventas 	Realizar llamadas para búsqueda de clientes	Enviar mensajes masivos 	Registro de prospectos	Búsqueda de clientes en el campo	,Tiempo Completo,Contrato por tiempo indefinido,450.00 US$ (Mensual),450,Vendedor detalle,Ejecutivo de ventas con conocimiento en diseño,Ventas,,,Educación Técnico/Profesional,20,Presencial,False,False,False,
CE6B29D1470799B661373E686DCF3405,False,True,Galanta Bia Cia. Ltda.,Ecuador,Manta,Manabí,Ecuador,Ventas,2024-09-10T11:09:00,2024-09-10T11:09:00,1,Atención al cliente. Dirección de ventas. Gestión de ventas. Liderazgo. Marketing. Ventas. Asesoría comercial. Call Center,,GALANTA BIA CIA. LTDA.	Requiere talento humano para diversas áreas 		Perfil: 	- Estudios mínimos Técnico o Tecnólogo en carreras afines 	- Edad entre 21 - 50 años	- Habilidades interpersonales fuertes 	- Capacidad para resolver problemas 	- Habilidades de comunicación Oral y Escrita 	- Habilidades de Liderazgo y toma de decisiones 	- Excelente actitud de servicio 	- Manejo confidencial de información 			Beneficios:	Estabilidad Laboral 	Estabilidad Económica 	Excelente Ambiente de trabajo,Tiempo Completo,Otro tipo de contrato,500.00 US$ (Mensual),500,Atencion al cliente – Asesores – Cal center,Marketing,Ventas,50,19,Educación Técnico/Profesional,6,Presencial,False,False,False,
DCAD592965A94BF061373E686DCF3405,False,True,FINCA GENESIS ,Ecuador,Portoviejo,Manabí,Ecuador,Informática / Telecomunicaciones,2024-09-10T09:01:26,2024-10-01T00:00:00,1,Adaptación al cambio. Análisis. Desarrollo de producto. Codeigniter. Spring MVC. AngularJS. Big Data. Scrum. HTML 5,,Capacidad para desarrollar y mantener aplicaciones de alta calidad. también seránresponsables de diseñar e implementar código comprobable y escalables.Responsabilidades * Desarrollar Sofware y aplicaciones móvil y/o web de calidad * Analizary mantener las aplicaciones de Software existente CONOCIMIENTO PARA WEB*Experiencia en desarrollo con lenguaje de programacion (JS. PHP) *Habilidades de basede datos SQL y base de datos relacionados *Conocimiento en Backend Nodejs y PHP *Conocimiento en Frontend Angularjs * Conocimiento en programacion en capas y el uso deFrameworw MOVIL * Conocimientos en Java. Kotlin. PHP Y SQL y/o algún lenguaje deprogramación híbrido como: flutter. ionic. react native,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,Programadores Móvil y Web,Ing. Sistemas Informaticos,Informática / Telecomunicaciones,,,Universidad,2,Presencial,False,False,True,
743E972E55B6C07F61373E686DCF3405,True,True,,Ecuador,Manta,Manabí,Ecuador,Otros,2024-09-10T04:24:07,2024-09-15T00:00:00,3,Adaptación al cambio. Atención al cliente. Autoconfianza. Eventos. Gestión de ventas. Hablar en público. Iniciativa. Liderazgo,Inglés ,1.	Responsable de estar al día con el conocimiento profundo de las características y beneficios de cada uno de los productos que forman el portafolio de la compañía.	2.	Responsable de mantener capacitados a los equipos comerciales de los distribuidores sobre las características y beneficios de cada uno de los productos que forman el portafolio de la compañía. de tal forma que puedan satisfacer las necesidades y manejar eficientemente las objeciones técnicas comerciales que se le presenten.	3.	Responsable del estudio y análisis profundo de la competencia. para establecer estrategias de comercialización.	4.	Responsable de preparar y dictar charlas técnicas comerciales a universidades. clínicas veterinarias y personal de mostrador. 	5.	Responsable de desarrollar ensayos de productos en campo. crear una base de datos completa de los ensayos donde se establezcan datos cuantitativos (estadísticos) y cualitativos.	6.	Responsable de la creación de estrategias comerciales para la introducción de productos en clínicas veterinarias. 	7.	Responsable promocionar los productos que no tienen rotación en el mercado y desarrollar actividades para incrementar su rotación.	8.	Conocer las políticas de comercialización de la empresa. así como de los distribuidores. 	9.	Asesorar al médico veterinario y/o personal de almacén. comercial y técnicamente para la correcta venta de los productos.	10.	Fidelizar clientes para lo cual es necesario establecer un nexo entre los clientes y empresa. Es decir. conocer las verdaderas necesidades del cliente. conocer la fecha de cumpleaños. aniversario de la clínica veterinaria. realizar preguntas abiertas y cerradas con el objetivo de conocer al cliente. 	11.	Captar nuevos clientes. e ingresar nuevos productos en clínicas veterinarias (aumentar el portafolio).	12.	Ofrecer un servicio post venta; Es decir. dar seguimiento al cliente luego de haber cerrado la venta. 	13.	Responsables de visitar mínimo 10 clínicas veterinarias diariamente. mismas que deberán ser ingresadas en el sistema Odoo con sus respectivas observaciones para un correcto seguimiento.	14.	Desarrollar y ejecutar las estrategias comerciales de las zonas que maneja.	15.	Responsable del desarrollo y mantenimiento de distribuidores de su zona. 	16.	Elaboración del presupuesto anual de la zona que maneja anualmente.	17.	Ejecución y cumplimiento mensual y anual del presupuesto de la línea que maneja. 	18.	Presentar los indicadores de su zona trimestralmente. 	19.	Presentar hasta el 4 de cada mes a gerencia el reporte de transferencias mensual a distribuidores y/o clientes directos.	20.	Asistir a las reuniones de redes sociales con el equipo de la Empresa y de publicidad los días martes cada 15 días de 08H00 a 08H30 vía online.	21.	Asistir los días jueves de 07H00 a 09H00 a reuniones de acompañamiento técnico comercial con equipos de la empresa.	,Tiempo Completo,Otro tipo de contrato,A convenir,0,Médico Veterinario(Promotora Comercial para linea de mascotas Quito),,Otros,35,28,Universidad,1,Presencial,False,True,False,
5FEC52BB683BC4E261373E686DCF3405,False,False,FINANMOTORS S.A.,Ecuador,Portoviejo,Manabí,Ecuador,Ventas,2024-09-10T04:04:10,2024-09-10T04:04:10,3,Dirección de ventas. Gestión de ventas. Ventas,,Únete a nuestro equipo como Supervisor de Ventas/ Jefe de Agencia Empresa líder en el sector de planificación vehicular e inmobiliaria busca un Supervisor de Ventas/ Jefe de Agencia. dinámico y orientado a resultados con una atractiva tabla de comisiones. que cuente experiencia demostrada en la gestión de equipos de ventas de productos intangibles y habilidades comprobadas en la dirección de supervisores. Requisitos: Experiencia mínima de 3 años en ventas de servicios o productos intangibles. Habilidad para liderar y motivar equipos de ventas. Experiencia en la gestión y coordinación de supervisores. Excelentes habilidades de comunicación y negociación. Orientado a resultados y con capacidad para trabajar bajo presión. Excelente manejo de relaciones interpersonales. Capacidad para trabajar bajo presión y tomar decisiones rápidas. Responsabilidades: Liderazgo y supervisión Dirigir y coordinar el equipo de ventas para alcanzar los objetivos comerciales establecidos. Desarrollar estrategias efectivas para aumentar las ventas y la cartera de clientes. Supervisar y capacitar al equipo de ventas para garantizar un desempeño óptimo. Establecer relaciones sólidas con clientes clave y prospectos. Analizar y reportar métricas de rendimiento de ventas. Colaborar con otros departamentos para garantizar la satisfacción del cliente y el cumplimiento de los objetivos de la empresa. Si tienes la experiencia y las habilidades necesarias para liderar y dirigir un región con éxito t einvitamos a postularte para este emocionante desafío.,Tiempo Completo,Contrato por tiempo indefinido,700.00 US$ (Mensual),700,Supervisor ventas,Jefe de Agencia,Ventas,0,28,Bachillerato / Educación Media,3,Presencial,True,False,True,
EB75B000E2C7087761373E686DCF3405,False,False,MASCAPITAL S.A.S,Ecuador,Manta,Manabí,Ecuador,Atención a clientes,2024-09-10T04:04:11,2024-09-10T04:04:11,,,,OFERTA LABORAL	Por apertura de nuevas oficinas se solicita personal para el área comercial que cumpla con el siguiente perfil:		Atencion al cliente	Trabajo en equipo	Confirmacion de informacion aportada por el cliente	Hábilidadad a la hora de expresarse	Tono de voz adecuado	Carisma y seguridad	Con o sin experiencia	Disponibilidad inmediata	Excelente ambiente laboral	Actitud positiva		Oportunidad de crecimiento laboral	Capacitación diaria y de crecimiento profesional	Brindar información sobre el producto al cliente	Atención al cliente	OFRECEMOS:	Sueldo Base	Beneficios de ley 	Excelente ambiente de trabajo	Programa de ascensos	Capacitación profesional constante,Tiempo Completo,Contrato por tiempo indefinido,600.00 US$ (Mensual),600,Atencion al cliente,Por contrato,Atención a clientes,,,Bachillerato / Educación Media,10,Presencial,False,False,True,
