id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
BEAD6D27BA9369CA61373E686DCF3405,False,False,Sukampo,Ecuador,Ambato,Tungurahua,Ecuador,Ventas,2024-09-11T12:07:17,2024-09-30T00:00:00,1,Gestión de ventas,,Buscamos a una persona proactiva y orientada al cliente. dispuesta a formar parte de nuestro equipo comercial. Si te apasiona entender las necesidades de los clientes y superar sus expectativas para cumplir con nuestras metas de ventas. ¡queremos conocerte!	 	MISIÓN:	Alcanzar el presupuesto de ventas asignado mediante asesoramiento personalizado a los clientes y asegurando su fidelización.	 	REQUISITOS:	Experiencia: Mínimo 1 año en posiciones similares.	Formación: Bachiller.	Conocimientos: Ventas a crédito.	Movilización: Vehículo propio		RESPONSABILIDADES:	Lograr los objetivos de ventas establecidos.	Brindar una atención efectiva a los clientes. asegurando su satisfacción y lealtad.	Desarrollar actividades de captación de nuevos clientes. como visitas puerta a puerta. entrega de volantes. y promociones en campo.	Dar seguimiento oportuno a los clientes con proformas para asegurar el cierre de ventas.	Colocar el material publicitario según lo dispuesto por el área de marketing.		COMPETENCIAS:	Impacto e influencia.	Iniciativa y proactividad.	Capacidad para trabajar bajo presión.		CONOCIMIENTOS:	Técnicas de ventas.	Manejo de objeciones.	Ventas a crédito.		BENEFICIOS:	Salario competitivo.	Oportunidades de crecimiento profesional.	Excelente ambiente de trabajo.,Tiempo Completo,Contrato por tiempo indefinido,550.00 US$ (Mensual),550,Vendedor,Crédito Directo,Ventas,,,Bachillerato / Educación Media,2,Presencial,False,False,True,
1C4BEE1FDC08AA5461373E686DCF3405,False,False,CTBJ Company MBR,Ecuador,Cevallos,Tungurahua,Ecuador,Almacén / Logística / Transporte,2024-09-11T04:24:09,2024-09-11T04:24:09,-1,,,Como jefe de pruebas a usted le solicitan un informe de pruebas. Considerando las actividades de pruebas y de acuerdo al estándar IEEE 829. ¿Qué debería tener en cuenta usted en su informe,Por Horas,Contrato de obra o labor,15.000.00 US$ (Mensual),15000,Test automation Engineer QA,,Almacén / Logística / Transporte,,,Educación Básica Secundaria,1,Presencial,True,False,True,
A37D8067DA52B9F161373E686DCF3405,False,False,,Ecuador,Cevallos,Tungurahua,Ecuador,Almacén / Logística / Transporte,2024-09-11T04:04:08,2024-09-11T04:04:08,,,,A menudo dedica tiempo personal a mejorar o completar un trabajo.|Se esfuerza por hacer bien su trabajo y lo prioriza frente a otros aspectos de su vida.|Dedica tiempo fuera del horario laboral a mejorar su trabajo.|Está dispuesto a asumir la responsabilidad de cualquier tarea.,Tiempo Completo,Contrato por tiempo indefinido,10.000.00 US$ (Mensual),10000,Ingeniero QA Verification Products,,Almacén / Logística / Transporte,,,Bachillerato / Educación Media,1,Presencial,False,True,True,
FC2D3D1A7AD49C5A61373E686DCF3405,False,False,INDUSTRIA ALIMENTICIA SAN FRANCISCO,Ecuador,Ambato,Tungurahua,Ecuador,Docencia,2024-09-09T14:35:12,2024-09-23T00:00:00,3,,,Enviar su Postulación a: centrocenfor g m a i l com	SOLO SI CUMPLE LO DETALLADO		Empresa de Capacitación requiere contratar Docente que Vivan en Ambato. de áreas de conocimiento Contratación Pública		Interesados. remitir su hoja de vida al siguiente correo electrónico	centrocenfor g m a i l com		cero nueve ocho cuatro cuatro cuatro ocho siete nueve tres	whatsapp con Econ. Daniel Guerrón Director General		NOTA: Por favor sino cumple los requisitos (Vivir en Ambato) no se postule.	Nuestro tiempo es valioso como el suyo.,Medio Tiempo,Contrato de obra o labor,A convenir,0,Docente de Contratacion Pública,Viva en Ambato,Docencia,0,30,Universidad,1,Presencial,False,False,True,
BEDC5F1E2645577E61373E686DCF3405,False,True,,Ecuador,Ambato,Tungurahua,Ecuador,Otros,2024-09-08T10:18:05,2024-09-08T10:18:05,-1,,,Importante empresa de Investigación de mercados requiere contratar AUDITOR DE CAMPO en AMBATO. La misión del cargo es:		Desplazarse en ciudades a nivel nacional para recolectar información. mediante una app en teléfono celular. que contiene las principales características físicas de los establecimientos y de los productos que correspondan encuestar. 		REQUISITOS:	- Residir en AMBATO	- Disponibilidad para viajar constantemente fuera de la ciudad.	- Bachiller o con estudios de tercer nivel inconclusos.	- Experiencia de al menos 3 meses en trabajo en campo (Indispensable)		BENEFICIOS:	- Salario mensual de $477	- Bono de transporte $50	- Beneficios sociales y empresariales		Por favor aplicar en caso de cumplir con el perfil.,Tiempo Completo,Otro tipo de contrato,467.00 US$ (Mensual),467,Auditor / Encuestador de campo,Ambato,Otros,0,20,Bachillerato / Educación Media,1,Presencial,False,True,False,
0C0B8901155E403761373E686DCF3405,False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Ambato,Tungurahua,Ecuador,Ventas,2024-09-04T17:16:35,2024-09-04T17:16:35,2,Ventas,,Identificar. generar y cerrar oportunidades de negocio para nuestros servicios	Creación de cartera de clientes 	Prospección y calificación de clientes potenciales	Negociación y cierre de ventas	Elaboración de informes	enviar hoja de vida *******@orizontel.ec 	,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,asesor comercial,ventas de intangibles,Ventas,37,27,Universidad,1,Presencial,False,False,False,
7AB7C172C930235D61373E686DCF3405,False,False,AUTOMUNDIAL ECUADOR SA,Ecuador,Ambato,Tungurahua,Ecuador,Ventas,2024-09-04T10:55:59,2024-09-04T10:55:59,2,,,¡Importante compañía del sector automotriz requiere para su equipo de trabajo el mejor Talento Humano! 		Requiere para su equipo de trabajo asesor comercial. con experiencia en el sector comercial para realizar labores de ventas de llantas. creación de nuevos clientes. cobros. con experiencia preferiblemente en el sector automotriz (llantas. aceites. accesorios de vehículos) y en ventas en frío. Con mínimo dos años de experiencia en el sector.		Ofrecemos:		- Salario básico: $ 500 Básico + Comisiones 	- Comisiones por ventas y cobranzas	- Todos los beneficios de Ley	- Horarios: lunes a viernes 8:00 a.m. 5:00 p.m.  Sábados Medio día. 		¡IMPORTANTE!		Contar con experiencia en venta de llantas. lubricantes. baterías o sector reencauche. contar con conocimiento del mercado de flotas de la zona por favor debe tener CARRO para movilizarse		¡POSTULATE SI CUMPLES CON LOS REQUISITOS Y CUMPLES CON LAS CONDICIONES!,Tiempo Completo,Contrato por tiempo determinado,500.00 US$ (Mensual),500,Asesor comercial/repuestos de carros lubricantes/ ventas de llantas/ Ambato o Riobamba,Ventas en frio/sector automotriz,Ventas,,,Educación Técnico/Profesional,1,Presencial,True,False,False,
FA60A13D98D946A561373E686DCF3405,False,False,INDUSTRIA ALIMENTICIA SAN FRANCISCO,Ecuador,Ambato,Tungurahua,Ecuador,Docencia,2024-09-02T23:33:57,2024-09-09T00:00:00,3,,,Enviar su Postulación a: centrocenfor g m a i l com 	SOLO SI CUMPLE LO DETALLADO		Empresa de Capacitación requiere contratar Docentes que Vivan en Ambato. de áreas de conocimiento Contratacion Pública. Derecho. Administración de Empresas		Interesados. remitir su hoja de vida al siguiente correo electrónico de	cenforpro centrocenfor g m a i l com 		 cero nueve ocho cuatro cuatro cuatro ocho siete nueve tres 	whatsapp con Econ. Daniel Guerrón Director General 		NOTA: Por favor sino cumple los requisitos (Vivir en Ambato) no se postule.	Nuestro tiempo es valioso como el suyo.	,Medio Tiempo,Contrato de obra o labor,A convenir,0,Docente Contratacion. Derecho. Administración,Únicamente de Ambato,Docencia,60,25,Universidad,3,Presencial,False,False,True,
F3287ED0BD45B46761373E686DCF3405,False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Ambato,Tungurahua,Ecuador,Ventas,2024-08-23T07:45:05,2024-08-23T07:45:05,2,Comunicación y persuasión. Negociación. Tecnología de la información. Trabajo en equipo,Inglés ,Funciones:	Identificar. generar y cerrar oportunidades de negocio para nuestros servicios	Creación de cartera de clientes 	Prospección y calificación de clientes potenciales	Negociación y cierre de ventas	Elaboración de informes		Requisitos:	Titulo de tercer en Ing. Comercial. marketing o Afines	Experiencia de 2 años comprobables en venta de intangibles	Habilidades de comunicación	Conocimientos de seguridad informática en software y hardware	Capacidad para trabajar bajo presión		Ofrecemos:	Un paquete de compensación competitivo	La oportunidad de trabajar con tecnología de vanguardia,Tiempo Completo,Contrato por tiempo indefinido,A convenir,0,asesor comercial en ciberseguridad,Experiencia de 2 años comprobables,Ventas,35,26,Universidad,1,Presencial,False,False,False,
6E958E20F46CCD7A61373E686DCF3405,False,False,ORIZONTEL- GROUP S.A.S.,Ecuador,Ambato,Tungurahua,Ecuador,Informática / Telecomunicaciones,2024-08-23T07:45:05,2024-09-02T00:00:00,2,SQL Server. AutoCAD. Análisis. Servicio al cliente. Soporte al cliente. Tecnología de la información. Trabajo en equipo. Big Data. Redes. Administración de sistemas,Inglés ,Requisitos:	Ing. telecomunicaciones y redes. mg. ciberseguridad	Certificados en cableado estructurado Panduit o Nextt	Certificado Fortinet NS3 minimo. NS4 o equivalete	 certificado Mikrotik MTCNA. MTCTCE	Administración de data center. mikrotik. Zkaccess. WMWARE. Firewall Fortinet. Sophos	Administración y gestión de redes server	Experiencia de 2 años en cargos de analista de ciberseguridad		Conocimientos adicionales:	Sistemas de alarmas	Sistemas contra incendios	Sistemas cctv y acceso Hivision	Sistemas de control de acceso	 ,Tiempo Completo,Contrato por tiempo indefinido,500.00 US$ (Mensual),500,analista de ciberseguridad. datos y accesos,con experiencia,Informática / Telecomunicaciones,37,27,Postgrado,1,Presencial,False,False,False,
