workType,areaName
accountingauditing,Contabilidad / Finanzas
accountingauditing and finance,Contabilidad / Finanzas
accountingauditing and information technology,Contabilidad / Finanzas
accountingauditing and writingediting,Contabilidad / Finanzas
accountingauditing consulting and finance,Contabilidad / Finanzas
accountingauditing finance and administrative,Contabilidad / Finanzas
administrative,Dirección / Gerencia
administrative and customer service,Dirección / Gerencia
administrative and education,Dirección / Gerencia
administrative and quality assurance,Dirección / Gerencia
administrative business development and customer service,Dirección / Gerencia
administrative business development and sales,Dirección / Gerencia
administrative customer service and education,Dirección / Gerencia
administrative customer service and sales,Dirección / Gerencia
administrative distribution and customer service,Dirección / Gerencia
administrative finance and sales,Dirección / Gerencia
administrative general business and other,Dirección / Gerencia
administrative management and customer service,Dirección / Gerencia
administrative management and distribution,Dirección / Gerencia
administrative management and finance,Dirección / Gerencia
advertising services,Mercadotecnia / Publicidad / Comunicación
analyst finance and marketing,Mercadotecnia / Publicidad / Comunicación
analyst information technology and strategyplanning,Informática / Telecomunicaciones
artcreative,Diseño / Artes gráficas
business consulting and services,Ventas
business development,Ventas
business development and customer service,Ventas
business development and sales,Ventas
business development consulting and strategyplanning,Ventas
business development education and human resources,Ventas
business development engineering and information technology,Ventas
business development general business and consulting,Ventas
business development marketing and sales,Ventas
consulting,Informática / Telecomunicaciones
consulting analyst and information technology,Informática / Telecomunicaciones
consulting and information technology,Informática / Telecomunicaciones
consulting information technology and sales,Informática / Telecomunicaciones
consulting sales and purchasing,Ventas
customer service,Atención a clientes
customer service and sales,Atención a clientes
customer service business development and general business,Atención a clientes
customer service supply chain and strategyplanning,Atención a clientes
design,Diseño / Artes gráficas
design artcreative and information technology,Diseño / Artes gráficas
distribution,Almacén / Logística / Transporte
distribution and supply chain,Almacén / Logística / Transporte
distribution management and marketing,Almacén / Logística / Transporte
distribution supply chain and quality assurance,Almacén / Logística / Transporte
education,Docencia
education and training,Docencia
education engineering and analyst,Docencia
education health care provider and marketing,Docencia
engineering,Ingeniería
engineering and information technology,Ingeniería
engineering and manufacturing,Ingeniería
engineering and sales,Ingeniería
engineering consulting and design,Ingeniería
engineering design and project management,Ingeniería
engineering strategyplanning and supply chain,Ingeniería
finance administrative and accountingauditing,Contabilidad / Finanzas
finance and accountingauditing,Contabilidad / Finanzas
finance and general business,Contabilidad / Finanzas
finance and sales,Contabilidad / Finanzas
finance consulting and business development,Contabilidad / Finanzas
financial services,Contabilidad / Finanzas
general business,Ventas
general business and sales,Ventas
general business management and business development,Ventas
general business sales and business development,Ventas
general business strategyplanning and marketing,Ventas
health and human services,Medicina / Salud
health care provider,Medicina / Salud
human resources,Recursos Humanos
human resources analyst and administrative,Recursos Humanos
human resources and business development,Recursos Humanos
human resources customer service and administrative,Recursos Humanos
human resources services,Recursos Humanos
human resources training and strategyplanning,Recursos Humanos
individual and family services,Servicios Generales. Aseo y Seguridad
information technology,Informática / Telecomunicaciones
information technology and engineering,Informática / Telecomunicaciones
insurance,Servicios Generales. Aseo y Seguridad
it services and it consulting,Informática / Telecomunicaciones
language schools,Docencia
legal,Legal / Asesoría
management,Dirección / Gerencia
management administrative and finance,Dirección / Gerencia
management and administrative,Dirección / Gerencia
management and manufacturing,Dirección / Gerencia
management and other,Dirección / Gerencia
manufacturing,Producción / Operarios / Manufactura
marketing,Mercadotecnia / Publicidad / Comunicación
marketing and advertising,Mercadotecnia / Publicidad / Comunicación
marketing and business development,Mercadotecnia / Publicidad / Comunicación
marketing and product management,Mercadotecnia / Publicidad / Comunicación
marketing and sales,Mercadotecnia / Publicidad / Comunicación
marketing and strategyplanning,Mercadotecnia / Publicidad / Comunicación
marketing business development and sales,Mercadotecnia / Publicidad / Comunicación
marketing public relations and writingediting,Mercadotecnia / Publicidad / Comunicación
marketing research and sales,Mercadotecnia / Publicidad / Comunicación
motor vehicle manufacturing,Mercadotecnia / Publicidad / Comunicación
other,Otros
other information technology and management,Otros
plastics manufacturing,Producción / Operarios / Manufactura
product management and engineering,Producción / Operarios / Manufactura
production,Producción / Operarios / Manufactura
project management,Dirección / Gerencia
project management and information technology,Dirección / Gerencia
project management information technology and strategyplanning,Dirección / Gerencia
project management sales and business development,Dirección / Gerencia
public relations,Compras / Comercio Exterior
public relations and marketing,Compras / Comercio Exterior
purchasing and supply chain,Almacén / Logística / Transporte
purchasing project management and quality assurance,Almacén / Logística / Transporte
quality assurance,Informática / Telecomunicaciones
quality assurance production and engineering,Informática / Telecomunicaciones
quality assurance purchasing and manufacturing,Informática / Telecomunicaciones
real estate,Ventas
research,Docencia
research analyst and general business,Docencia
research analyst and information technology,Docencia
research education and science,Docencia
retail,Ventas
retail appliances electrical and electronic equipment,Ventas
sales,Ventas
sales administrative and distribution,Ventas
sales administrative and finance,Ventas
sales administrative and general business,Ventas
sales and administrative,Ventas
sales and business development,Ventas
sales and management,Ventas
sales and marketing,Ventas
sales business development and customer service,Ventas
sales business development and management,Ventas
sales consulting and quality assurance,Ventas
sales customer service and engineering,Ventas
sales customer service and finance,Ventas
sales customer service and product management,Ventas
sales general business and customer service,Ventas
sales general business and other,Ventas
sales marketing and customer service,Ventas
science and other,Docencia
software development,Informática / Telecomunicaciones
strategyplanning,Dirección / Gerencia
strategyplanning production and manufacturing,Dirección / Gerencia
strategyplanning project management and production,Dirección / Gerencia
supply chain,Almacén / Logística / Transporte
supply chain distribution and strategyplanning,Almacén / Logística / Transporte
transportation logistics supply chain and storage,Almacén / Logística / Transporte
wholesale,Ventas
wholesale appliances electrical and electronics,Ventas
writingediting advertising and administrative,Servicios Generales. Aseo y Seguridad
writingediting advertising and consulting,Servicios Generales. Aseo y Seguridad
