Skills,Nombre
computacion en la nube,Computacion en la nube
desarrollo de negocio,Desarrollo de negocio
desarrollo de producto,Desarrollo de producto
gestion de documentos,Gestion de documentos
direccion de ventas,Direccion de ventas
gestion de recursos,Gestion de recursos
gestion de proyectos,Gestion de proyectos
gestion de ventas,Gestion de ventas
lean software development,Lean software development
manipulacion de alimentos,Manipulacion de alimentos
mejora del rendimiento,Mejora del rendimiento
proceso de mejora,Proceso de mejora
test-driven development (tdd),Test-driven development
analisis de datos,Analisis de datos
aprendizaje de maquina,Aprendizaje de maquina
bases de datos,Bases de datos
automatizacion de procesos,Automatizacion de procesos
3ds max,3DS Max
gestion financiera,Gestion financiera
apache avro,Apache Avro
apache drill,Apache Drill
apache hive,Apache Hive
apache kafka,Apache Kafka
asesoria comercial,Asesoria comercial
asesoria legal,Asesoria legal
big data,Big Data
call center,Call Center
comercio exterior,Comercio exterior
dot net,Dot net
expression web,Expression Web
google bigtable,Google bigtable
habilidad comercial,Habilidad comercial
iso 9001,Iso 9001
mac os,MAC Os
microsoft office,Microsoft Office
net mvc,Net mvc
primeros auxilios,Primeros auxilios
principios solid,Principios SOLID
recursos humanos,Recursos humanos
redes sociales,Redes sociales
relaciones publicas,Relaciones publicas
salud ocupacional,Salud ocupacional
spring mvc,Spring MVC
sql server,SQL Server
zend framework,Zend Framework
inteligencia artificial,Inteligencia artificial
desarrollo web,Desarrollo web
marketing digital,Marketing digital
aplicaciones moviles,Aplicaciones moviles
realidad aumentada,Realidad aumentada
realidad virtual,Realidad virtual
adobe,Suite Adobe
agile,Agile
programacion,Programacion/Desarrollo
angularjs,Angular
arcgis,ArcGis
asp,ASP
auditoria,Auditoria
autocad,Autocad
backbone,Backbone
c,c
c#,c#
c++,c++
calidad,Calidad/QA
codeigniter,CodeIgniter
compras,Compras
construccion,Construccion
consultoria,Consultoria
contabilidad,Contabilidad
crm,Habilidad con CRM
css,CSS
direccion,Direccion
diseno,Diseño
django,Django
edicion,Edicion
electronica,Electronica
enfermeria,Enfermeria
erp,Habilidad con ERP
eventos,Eventos
facturacion,Facturacion
finanzas,Finanzas
formacion,Formacion
fotografia,Fotografia
gestion,Gestion
html5,HTML5
impala,Impala
ingenieria,Ingenieria
inmobiliaria,Inmobiliaria
internet,Internet
java,Java
javascript,JavaScript
jquery,JQuery
kanban,Kanban
laravel,Laravel
libreoffice,LibreOffice
linux,Linux
logistica,Logistica
mantenimiento,Mantenimiento
marketing,Marketing
mercadeo,Mercadeo
mysql,MySQL
net,.Net
networking,Networking
node,Node
objective-c,Objective-C
oracle,Oracle
pedagogia,Pedagogia
perl,Perl
php,PHP
planificacion,Planificacion
postgresql,PostgresSQL
presentaciones,Presentaciones
promocion,Promocion
prototype,Prototype
proveedores,Proveedores
psicologia,Psicologia
publicidad,Publicidad
python,Python
r,R
redes,Redes
refactoring,Refactoring
reporte,Reporte
salud,Salud
sap,SAP
sass,SASS
scala,Scala
scrum,Scrum
servidores,Servidores
contabilidad,Contabilidad
solidworks,SolidWorks
spark,Spark
swift,Swift
symfony,Symfony
tecnologia,Tecnologia
testeo,Testeo/Testing
ventas,Ventas
windows,Windows
wordpress,Wordpress
ciberseguridad,Ciberseguridad
uxui,UX/UI
seo,SEO
estadistica,Estadistica
blockchain,Blockchain
