Original Skill,Mapped Skill
tecnologia de la informacion,tecnologia
net mvc web api,net
atencion al cliente,servicio al cliente
soporte al cliente,servicio al cliente
administracion de sistemas,administracion
administracion de archivos,administracion
digitalizacion de documentos,gestion de documentos
direccion de ventas,direccion
gestion de coste,gestion financiera
gestion de inventarios,gestion de recursos
gestion del cambio,gestion de proyectos
gestion del tiempo,gestion de proyectos
orientacion al logro,capacidad de decision
analisis de costes,gestion financiera
servicio al cliente,servicio al cliente
gestion de equipos,creacion de equipos
gestion de personal,creacion de equipos
gestion de proyectos,gestion de proyectos
gestion de documentos,gestion de documentos
adaptacion al cambio,adaptabilidad
aceptacion de errores,adaptabilidad
resolucion de conflictos,resolucion de problemas
solucionador de problemas,resolucion de problemas
capacidad de escucha,escucha activa
hablar en publico,comunicacion
base de datos,bases de datos
desarrollo de software,programacion
adobe ilustrator,adobe
adobe premier,adobe
analisis financiero,gestion financiera
html 5,html5
redes sociales,redes sociales
microsoft excel,microsoft office
microsoft word,microsoft office
microsoft outlook,microsoft office
microsoft powerpoint,microsoft office
microsoft project,microsoft office
net mvc,net
sql server,sql
adobe photoshop,adobe
adobe indesign,adobe
team work,trabajo en equipo
problem solver,resolucion de problemas
problem solving,resolucion de problemas
timely management,gestion del tiempo
pensamiento estrategico,pensamiento critico
pensamiento analitico,pensamiento critico
critical thinking,pensamiento critico
escuchar bien,escucha activa
active listening,escucha activa
listen well,escucha activa
social media,redes sociales
data analysis,analisis de datos
artificial intelligence,inteligencia artificial
machine learning,aprendizaje de maquina
web development,desarrollo web
web developer,desarrollo web
desarrollador web,desarrollo web
cloud computing,computacion en la nube
data base,bases de datos
ventas digitales,marketing digital
aumented reality,realidad aumentada
virtual reality,realidad virtual
hadoop,big data
ensenanza,docencia
ilustrator,adobe
premier,adobe
compras,compras
organizacion,organizacion
formacion,docencia
finanzas,gestion financiera
eventos,organizacion de eventos
crm,gestion de relaciones con clientes
html,html5
unix,linux
nominas,recursos humanos
reclutamiento,recursos humanos
redes,redes
solidworks,autocad
node,node.js
js,javascript
oracle,sql
postgresql,sql
sap,erp
autocad,diseno
photoshop,adobe
indesign,adobe
teamwork,trabajo en equipo
teamworking,trabajo en equipo
leadership,liderazgo
empathy,empatia
communication,comunicacion
adaptability,adaptabilidad
escucha,escucha activa
creativity,creatividad
proactivo,proactividad
proactiva,proactividad
proactivity,proactividad
drafting,redaccion
redacion,redaccion
efficiency,eficiencia
eficaz,eficiencia
collaboration,colaboracion
colaborativo,colaboracion
colaborativa,colaboracion
determination,determinacion
versatility,versatilidad
trust,confianza
analysis,analisis
investigation,investigacion
research,investigacion
innovation,innovacion
inspiration,inspiracion
flexibility,flexibilidad
retail,ventas
emociones,gestion de las emociones
programming,programacion
cybersecurity,ciberseguridad
bdd,bases de datos
estadistico,estadistica
ra,realidad aumentada
rv,realidad virtual
qa,testeo
sicologia,psicologia
sicologa,psicologia
sicologo,psicologia
psicologa,psicologia
psicologo,psicologia
