id,cambioResidencia,viajar,empresa,paisEmpresa,ciudad,provincia,pais,areaName,fechaHoraPublicacion,fechaHoraVence,experienciaAnos,skills,idiomas,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,descripcionTitulo,categoria,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
8AF5D0A8C70DE39F61373E686DCF3405,False,False,,Ecuador,Quito,Pichincha,Ecuador,CallCenter / Telemercadeo,2024-09-11T20:16:43,2024-09-16T00:00:00,-1,,,Estamos en la búsqueda de Ejecutivos de Ventas por Call Center para unirse a nuestro equipo en Quito. Ecuador. En esta posición. serás responsable de realizar ventas a través de llamadas telefónicas. brindando un servicio de calidad y asesoramiento a nuestros clientes.		PERFIL SOLICITADO	Edad hasta 28 años	Bachiller o carreras administrativas 	Residencia Quito		EXPERIENCIA: Mínimo de 6 meses en el área de ventas por Call Center.		COMPETENCIAS:	Proactividad	Trabajo en equipo	Planificación y organización	Excelente expresión oral	Trabajo bajo presión	Responsable y puntual	CONOCIMIENTOS: Manejo de teclado. dominio intermedio de Excel y Office.		FUNCIONES A DESEMPEÑAR:	Manejo del proceso de ventas	Negociaciones	Cierre de ventas	Elaboraciones de reporte de ventas realizadas		OFERTA LABORAL: Excelente sueldo + comisiones,Tiempo Completo,Otro tipo de contrato,A convenir,0,Ejecutivo Ventas Call Center,,CallCenter / Telemercadeo,28,20,Bachillerato / Educación Media,50,Presencial,False,True,False,
B9C2AEE822A2499861373E686DCF3405,False,False,,Ecuador,Quito,Pichincha,Ecuador,CallCenter / Telemercadeo,2024-09-11T20:16:29,2024-09-16T00:00:00,-1,,Portugués ,Estamos en la búsqueda de Asesores de Ventas para Call Center. con dominio del idioma Portugués para unirse a nuestro equipo en Quito. Ecuador. En esta posición. serás responsable de realizar ventas a través de llamadas telefónicas. brindando un servicio de calidad y asesoramiento a nuestros clientes.		PERFIL SOLICITADO	Edad hasta 28 años	Bachiller o carreras administrativas 	Idioma Portugués Intermedio-Avanzado	Residencia Quito		EXPERIENCIA: Mínimo de 6 meses en el área de ventas por Call Center.		COMPETENCIAS:	Proactividad	Trabajo en equipo	Planificación y organización	Excelente expresión oral	Trabajo bajo presión	Responsable y puntual	CONOCIMIENTOS: Manejo de teclado. dominio intermedio de Excel y Office.		FUNCIONES A DESEMPEÑAR:	Manejo del proceso de ventas	Negociaciones	Cierre de ventas	Elaboraciones de reporte de ventas realizadas		OFERTA LABORAL: Excelente sueldo + comisiones,Tiempo Completo,Otro tipo de contrato,800.00 US$ (Mensual),800,Teleoperadores Idioma Portugués,,CallCenter / Telemercadeo,28,20,Bachillerato / Educación Media,20,Presencial,False,True,False,
127AF814C0B4038E61373E686DCF3405,False,False,KEMPERY WORLD TRAVEL S.A.,Ecuador,Quito,Pichincha,Ecuador,CallCenter / Telemercadeo,2024-09-11T17:39:07,2024-09-11T17:39:07,,Atención al cliente. Call Center. Calidad,,La aplicante es para el área de telemercadeo cuya fusión es hacer llamadas telefónicas para gestionar citas. (No es venta directa por teléfono). El trabajo es hacer que asistan clientes potenciales a un espacio comercial. donde otro departamento los atiende. La efectividad se mide por los clientes potenciales que hagamos llegar al destino. Aplicamos para medio tiempo y tiempo completo. ,Tiempo Completo,Otro tipo de contrato,A convenir,0,Agente de atención al cliente,call center,CallCenter / Telemercadeo,35,18,Bachillerato / Educación Media,5,Presencial,False,False,True,
B32A7E60643CD5C661373E686DCF3405,False,False,AROUND THE WORLD ECUADOR,Ecuador,Quito,Pichincha,Ecuador,Ventas,2024-09-11T17:34:47,2024-09-16T00:00:00,2,CRM. Comunicación y persuasión. Gestión de ventas. Microsoft Office,,Buscamos profesional en Turismo con experiencia mínimo de 2 años comprobada en Ventas telefónicas/presencial de intangibles.		El trabajo consiste en llamar vía telefónica para PROSPECTAR. HACER SEGUIMIENTO Y CIERRE. a los prospectos clientes que escriben por nuestra publicidad que hacemos como empresa en las diferentes redes sociales.		CARACTERÍSTICAS DEL PERFIL	* Excelente presencia y facilidad de palabra. 	* Persona pro activa. dispuesta a trabajar bajo presión con cumplimento de metas. 	* Atención personalizada al cliente vía telefónica. presencial. WhatsApp y CRM de la empresa. 	* Alta efectividad en cierre de ventas. 	* Ofrecer todos los servicios turísticos nacionales e internacionales de la agencia. 	* Asesoramiento completo en viajes y visados. 	* Realizar emisiones de pasajes aéreos y cotizaciones de tours. hoteles. cruceros. seguros de viajes. renta de autos. etc. 	* Dar un seguimiento diario a todos los clientes. 	* Realizar hojas de reserva y facturación. 	* Incrementar la cartera de clientes de la empresa. 	* Cumplir metas mensuales. 		OFRECEMOS	* Excelente ambiente de trabajo.	* Crecimiento dentro de la empresa.	* Se ofrece bonos económicos por cumplimiento. 	* El horario de trabajo es de lunes a sábado de 9:00 a 18:00. trabajamos fines de semana y feriados. 	* Sueldo $600.00 con beneficios de ley. más comisiones y bonificaciones. Ingresos promedio $800.00 a $1500.00		,Tiempo Completo,Contrato por tiempo indefinido,600.00 US$ (Mensual),600,Asesor/a comercial agencia de viajes,Tiempo completo. con experiencia,Ventas,42,23,Universidad,3,Presencial,True,False,False,3.6
C6E8E62B1B85546E61373E686DCF3405,False,False,,Ecuador,Quito,Pichincha,Ecuador,Recursos Humanos,2024-09-11T17:31:52,2024-09-11T17:31:52,2,Comunicación y persuasión. Liderazgo. Trabajo en equipo,,Somos una organización global que promueve la educación en línea. inspirada en el desarrollo de la sociedad a través de nuevos modelos de aprendizaje.	S4L sirve a sus instituciones afiliadas ayudándolas a maximizar su impacto a través de la transformación digital.		Funciones: 	* Atender y monitorear los casos de salud de los trabajadores de la empresa.	* Coordinar y realizar visitas domiciliarias.	* Monitorear la programación de exámenes médicos ocupacionales de manera mensual. según la programación anual.	* Promover convenios corporativos para beneficio del colaborador.	* Socializar y promover las actividades de bienestar y recreación realizadas por la empresa.	* Controlar y gestionar el cumplimiento de las actividades planificadas en el programa de SST y salud ocupacional de la organización		Requisitos indispensables: 	* Título de tercer nivel en Trabajo social o carreras afines. 	* Experiencia de 2 años en cargos semejantes.	* Conocimientos nivel intermedio en Microsoft Office y Google Sheet.	* Residir en Quito		Beneficios: 	* Modalidad de trabajo Híbrida	* Beca del 100% de estudios (tercer y cuarto nivel)	* Buen ambiente laboral,Tiempo Completo,Otro tipo de contrato,A convenir,0,Trabajador/a Social,Quito / Híbrido,Recursos Humanos,,,Universidad,1,Híbrido,False,True,False,
7CA219893A282DF861373E686DCF3405,False,False,GN Comunicación Inteligente,Ecuador,Quito,Pichincha,Ecuador,CallCenter / Telemercadeo,2024-09-11T16:20:01,2024-09-17T00:00:00,1,Liderazgo. Marketing. Servicio al cliente,Español ,¡Únete a nuestro equipo y lleva tu carrera al siguiente nivel!		¿Eres una persona apasionada por las ventas y el contacto con clientes? ¿Te motivan los desafíos y el logro de objetivos? Si además tienes experiencia en marketing digital y ventas a través de redes sociales. ¡esta oportunidad es para ti! Estamos en la búsqueda de Asesores Comerciales dinámicos y con ganas de crecer profesionalmente para formar parte de nuestro equipo.		Principales Responsabilidades:		-Realizar llamadas a potenciales clientes para la venta de PLANES TELEFÓNICOS.	-Identificar oportunidades de negocio y generar ventas efectivas.	-Asesorar a los clientes sobre nuestros planes de telefonía móvil. ofreciendo soluciones adaptadas a sus necesidades.	-Implementar estrategias de marketing digital y ventas en redes sociales para maximizar el alcance y la efectividad.	-Cumplir con las metas de ventas establecidas por la empresa.	Requisitos:		-Experiencia mínima de 1 año en ventas de intangibles (deseable. pero no excluyente).	-Experiencia en marketing digital y ventas a través de redes sociales.	-Excelentes habilidades de comunicación y negociación.	-Proactividad y orientación a resultados.	-Capacidad para trabajar en equipo y bajo presión.	-Disponibilidad para trabajar en horario completo.	Ofrecemos:		-Salario base con comisiones y bonos atractivos por cumplimiento de metas.	-Capacitación continua y oportunidades de desarrollo profesional en ventas y marketing digital.	-Excelente ambiente de trabajo.	¡No pierdas esta oportunidad de crecer con nosotros! Aplica ahora y forma parte de un equipo que valora tu talento y experiencia.,Tiempo Completo,Otro tipo de contrato,600.00 US$ (Mensual),600,Asesores Comerciales Quito,Distribuidor Autorizado de Claro,CallCenter / Telemercadeo,37,20,Bachillerato / Educación Media,2,Presencial,False,False,True,
75228A69110B3DC561373E686DCF3405,False,False,MARKETPRO,Ecuador,Quito,Pichincha,Ecuador,Ventas,2024-09-11T15:59:40,2024-09-11T15:59:40,3,,,ENVIAR CAPTURA DEL AVISO Y H0JA DE VlDA AL WHATSAPP DEL LOGO. No abrimos hojas de vida en CT y tampoco contestamos si no envia lo pedido.		Busco chica menor a 25 años trabajadora. honesta y creativa		Carismática. don de gentes. excelente expresión		Experiencia en ventas en canales tradicionales y canales digitales		Conocimiento de manejo de canales digitales (faceobnok. tiktok. instagram. CAPCUT. CANVA)		EL PUESTO ES PARA UNA VENDEDORA. no abogado. no ingeniero. no enfermera. SOLO VENDEDORAS	------------------------	Su trabajo será ejecutar el proceso de VENTAS de productos y servicios a través de diversos canales tradicioales y digitales	Visitas en frio a clientes (ventas de campo)	PREFERIBLE CON CARTERA DE CLIENTES	Preferible conocer sector automotriz 	----------------------------------		Que viva en Quito o Guayaquil o Manta o Coca ,Tiempo Completo,Otro tipo de contrato,A convenir,0,Vendedora de campo con experiencia en ventas y marketing tradicional y digital,Aplicar solo vendedorAs con experiencia,Ventas,,,Educación Técnico/Profesional,1,Híbrido,False,False,False,
7469A79748F7E4FA61373E686DCF3405,False,True,"ASOCIACIÓN DE PRODUCCIÓN TEXTIL CIERRE DORADO ""ASOPROTEXCIEDO""",Ecuador,Quito,Pichincha,Ecuador,Administración / Oficina,2024-09-11T15:44:13,2024-09-11T15:44:13,,Software de Contabilidade. Capacidad de decisión. Gestión de ventas. Administración. Microsoft Office,,Contrato especialista en gerencia. toma de decisiones y gestión documental. con manejo de Microsoft Office para asistir en labores administrativas. y de contabilidad media.,Tiempo Completo,Contrato por tiempo indefinido,502.00 US$ (Mensual),502,Asistente de gerencia,Hábil para tomar decisiones,Administración / Oficina,30,17,Educación Básica Secundaria,2,Híbrido,False,False,False,
5C2C60975C138E3561373E686DCF3405,False,False,,Ecuador,Quito,Pichincha,Ecuador,Investigación y Calidad,2024-09-11T13:30:02,2024-12-30T00:00:00,3,,,Asesorar. direccionar y concretar ventas de los servicios del hospital enfocado en  la comercialización paquetes de salud tanto a clientes particulares como de seguros privados. además del seguimiento en cuanto al cumplimiento de la calidad del servicio.,Tiempo Completo,Contrato por tiempo indefinido,1.500.00 US$ (Mensual),1500,Especialista Comercial,Comercial,Investigación y Calidad,57,38,Universidad,1,Presencial,False,True,True,
94C2272294CD2DA561373E686DCF3405,False,False,Ditelcom SA,Ecuador,Quito,Pichincha,Ecuador,Ventas,2024-09-05T15:19:27,2024-09-15T00:00:00,4,CRM. Gestión de ventas,,Oficina Comercial en Quito. desea estructurar su nuevo equipo  de ventas Consultivas. para lo cual desea contratar 4 ejecutivas de ventas intangibles y servicios.		Indispensable experiencia en venta de Seguros. planes celulares empresas o ventas Pyme		Actividades:	Construir un CRM de prospectos 	Contar con base de clientes propia	agendamiento de 5 citas semanales y 5 virtuales 	Alta orientación a Resultado y manejo optimo de técnicas de Cierre 		Empresa ofrece 	Equipo de computación y linea celular	Sueldo básico mas esquema comisional sobre los 400 usd  	Beneficios de ley a partir del 3 mes de prueba ,Tiempo Completo,Contrato por tiempo indefinido,600.00 US$ (Mensual),600,Ejecutivo/a comercial,Con experiencia venta planes celulares empresas,Ventas,30,25,Universidad,4,Presencial,False,False,True,
