id,idSemantico,name
6,comercial-ventas-y-negocios,Comercial. Ventas y Negocios
1,administracion-contabilidad-y-finanzas,Administración. Contabilidad y Finanzas
14,marketing-y-publicidad,Marketing y Publicidad
3,abastecimiento-y-logistica,Abastecimiento y Logística
16,produccion-y-manufactura,Producción y Manufactura
22,oficios-y-otros,Oficios y Otros
30,ingenierias,Ingenierías
25,atencion-al-cliente-call-center-y-telemarketing,Atención al Cliente. Call Center y Telemarketing
23,salud-medicina-y-farmacia,Salud. Medicina y Farmacia
17,recursos-humanos-y-capacitacion,Recursos Humanos y Capacitación
19,tecnologia-sistemas-y-telecomunicaciones,Tecnología. Sistemas y Telecomunicaciones
10,gastronomia-y-turismo,Gastronomía y Turismo
31,diseno,Diseño
2,aduana-y-comercio-exterior,Aduana y Comercio Exterior
9,educacion-docencia-e-investigacion,Educación. Docencia e Investigación
4,ingenieria-civil-y-construccion,Ingeniería Civil y Construcción
18,comunicacion-relaciones-institucionales-y-publicas,Comunicación. Relaciones Institucionales y Públicas
26,secretarias-y-recepcion,Secretarias y Recepción
13,legales,Legales
28,seguros,Seguros
35,sociologia-trabajo-social,Sociología / Trabajo Social
11,gerencia-y-direccion-general,Gerencia y Dirección General
36,departamento-tecnico,Departamento Tecnico
29,mineria-petroleo-y-gas,Minería. Petróleo y Gas
33,enfermeria,Enfermería
38,naviero-maritimo-portuario,Naviero. Maritimo. Portuario
